,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent
11334,"1/2 REED COURT, ENDEAVOUR HILLS",-37.969944,145.270665,3.0,1.0,1,$200_Week,Unit,November 2006,3802,2006,11,HILLS,200
11335,"1/2 REED COURT, ENDEAVOUR HILLS",-37.969944,145.270665,3.0,1.0,1,$200,Unit,October 2006,3802,2006,10,HILLS,200
11596,"1/17 BRAMWELL CLOSE, ENDEAVOUR HILLS",-37.99160385,145.26370239,2.0,1.0,1,$200_Week,Rental_residential,November 2006,3802,2006,11,HILLS,200
11597,"1/17 BRAMWELL CLOSE, ENDEAVOUR HILLS",-37.99160385,145.26370239,2.0,1.0,1,$200,Rental_residential,November 2006,3802,2006,11,HILLS,200
485,"149 WILLIAM STREET, ST ALBANS",-37.736411,144.805246,1.0,1.0,0,$185,House,November 2006,3021,2006,11,ALBANS,185
665,"440 MAIN ROAD WEST, ST ALBANS",-37.74265,144.787109,3.0,1.0,1,$190_Week,Rental_residential,November 2006,3021,2006,11,ALBANS,190
695,"38 STEVENS ROAD, ST ALBANS",-37.736473,144.78592,3.0,1.0,0,$200,none,December 2006,3021,2006,12,ALBANS,200
696,"38 STEVENS ROAD, ST ALBANS",-37.736473,144.78592,3.0,1.0,0,$200_Week,none,November 2006,3021,2006,11,ALBANS,200
821,"24 BELFORT STREET, ST ALBANS",-37.750598,144.818979,3.0,1.0,2,$175,Rental_residential,December 2006,3021,2006,12,ALBANS,175
2601,"17/220 BARKLY STREET, ST KILDA",-37.870521,144.980662,2.0,1.0,1,$335,Unit/apmt,October 2006,3182,2006,10,KILDA,335
2638,"4/48 DALGETY STREET, ST KILDA",-37.85935593,144.98078918,1.0,1.0,1,$245,Unit/apmt,November 2006,3182,2006,11,KILDA,245
2697,"4/25 BRIGHTON ROAD, ST KILDA",-37.86925507,144.98735046,1.0,1.0,1,$180,Rental_residential,December 2006,3182,2006,12,KILDA,180
2790,"11/4 ALFRED SQUARE, ST KILDA",-37.8645668,144.97425842,1.0,1.0,1,$300_Week,Available Now,November 2006,3182,2006,11,KILDA,300
3251,"9/1 DUKE STREET, ST KILDA",-37.86791229,144.9881134,2.0,1.0,2,$350,Unit/apmt,October 2006,3182,2006,10,KILDA,350
3369,"12/35 JACKSON STREET, ST KILDA",-37.86153412,144.97654724,1.0,1.0,0,$210,none,November 2006,3182,2006,11,KILDA,210
3394,"2/6 REDAN STREET, ST KILDA",-37.85961151,144.98886108,2.0,1.0,1,$250,none,November 2006,3182,2006,11,KILDA,250
4081,"9/32 WELLINGTON STREET, ST KILDA",-37.85681534,144.98510742,1.0,1.0,1,$180,Rental_residential,October 2006,3182,2006,10,KILDA,180
4355,"11/27 CHARNWOOD ROAD, ST KILDA",-37.858944,144.987172,2.0,1.0,1,$450,Unit/apmt,December 2006,3182,2006,12,KILDA,450
