,Year,Postcode,Offence Count
724,2014,3044,1330
725,2014,3045,666
726,2014,3046,2657
727,2014,3047,4055
728,2014,3048,1579
729,2014,3049,497
730,2014,3051,1694
731,2014,3052,1034
732,2014,3053,1753
733,2014,3054,627
734,2014,3055,745
735,2014,3056,2629
736,2014,3057,718
737,2014,3058,3589
738,2014,3059,478
739,2014,3060,837
740,2014,3061,1402
741,2014,3062,224
742,2014,3063,22
743,2014,3064,3847
744,2014,3065,2691
745,2014,3066,1633
746,2014,3067,1115
747,2014,3068,1610
748,2014,3070,1906
749,2014,3071,1244
750,2014,3072,5123
751,2014,3073,3581
752,2014,3074,2205
753,2014,3075,1386
754,2014,3076,3424
755,2014,3078,779
756,2014,3079,927
757,2014,3081,1870
758,2014,3082,2153
759,2014,3083,2074
760,2014,3084,2484
761,2014,3085,1671
762,2014,3087,521
763,2014,3088,1575
764,2014,3089,558
765,2014,3090,109
766,2014,3091,78
767,2014,3093,250
768,2014,3094,260
769,2014,3095,963
770,2014,3096,43
771,2014,3097,27
772,2014,3099,154
773,2014,3101,1334
774,2014,3102,232
775,2014,3103,533
776,2014,3104,640
777,2014,3105,408
778,2014,3106,413
779,2014,3107,353
780,2014,3108,1463
781,2014,3109,810
782,2014,3111,447
783,2014,3113,198
784,2014,3114,98
785,2014,3115,145
786,2014,3116,659
787,2014,3121,4085
788,2014,3122,1381
789,2014,3123,527
790,2014,3124,1076
791,2014,3125,746
792,2014,3126,313
793,2014,3127,489
794,2014,3128,1474
795,2014,3129,476
796,2014,3130,1168
797,2014,3131,1107
798,2014,3132,701
799,2014,3133,798
800,2014,3134,3291
801,2014,3135,1085
802,2014,3136,2175
803,2014,3137,618
804,2014,3138,903
805,2014,3139,414
806,2014,3140,1481
807,2014,3141,1917
808,2014,3142,810
809,2014,3143,453
810,2014,3144,725
811,2014,3145,2217
812,2014,3146,727
813,2014,3147,847
814,2014,3148,645
815,2014,3149,1001
816,2014,3150,2045
817,2014,3151,434
818,2014,3152,2447
819,2014,3153,1862
820,2014,3154,128
821,2014,3155,1509
822,2014,3156,2011
823,2014,3158,275
824,2014,3159,92
825,2014,3160,570
826,2014,3161,520
827,2014,3162,744
828,2014,3163,1320
829,2014,3165,933
830,2014,3166,1904
831,2014,3167,528
832,2014,3168,1781
833,2014,3169,1072
834,2014,3170,1074
835,2014,3171,1765
836,2014,3172,1117
837,2014,3173,1284
838,2014,3174,2821
839,2014,3175,9617
840,2014,3177,1351
841,2014,3178,1638
842,2014,3179,494
843,2014,3180,555
844,2014,3181,3452
845,2014,3182,4619
846,2014,3183,1245
847,2014,3184,860
848,2014,3185,830
849,2014,3186,1104
850,2014,3187,582
851,2014,3188,1015
852,2014,3189,890
853,2014,3190,801
854,2014,3191,552
855,2014,3192,1912
856,2014,3193,494
857,2014,3194,795
858,2014,3195,1923
859,2014,3196,1381
860,2014,3197,765
861,2014,3198,1863
862,2014,3199,9257
863,2014,3200,879
864,2014,3201,1547
865,2014,3202,156
866,2014,3204,1044
867,2014,3205,2156
868,2014,3206,599
869,2014,3207,1450
870,2014,3211,84
871,2014,3212,666
872,2014,3213,126
873,2014,3214,3812
874,2014,3215,1626
875,2014,3216,2629
876,2014,3217,122
877,2014,3218,942
878,2014,3219,1889
879,2014,3220,3619
880,2014,3221,12
881,2014,3222,406
882,2014,3223,328
883,2014,3224,471
884,2014,3225,120
885,2014,3226,359
886,2014,3227,179
887,2014,3228,617
888,2014,3230,99
889,2014,3231,37
890,2014,3232,185
