,postcode,sa2_2021,sa2_2016,year,gdp(USD Millioins),saving_rate(% of GDP),income_per_person,population_density,crime_cases
438,3121,206071518,206071144,2024,3850385,14.351000000009662,92606.73855228722,6875.0,4751
439,3093,209011202,209011202,2024,3850385,14.351000000009662,78399.51949488837,1854.0,234
440,3190,208011171,208011171,2024,3850385,14.351000000009662,82683.66348310467,2479.0,991
441,3911,214021385,214021385,2024,3850385,14.351000000009662,67599.29956862377,589.0,358
442,3122,207011519,207011151,2024,3850385,14.351000000009662,113356.00033612642,4602.0,1515
443,3074,209041530,209041219,2024,3850385,14.351000000009662,57254.70802529948,1759.0,2511
444,3936,214021377,214021377,2024,3850385,14.351000000009662,65775.53466605395,652.0,842
445,3875,205021081,205021081,2024,3850385,14.351000000009662,59641.69852569932,567.0,2333
446,3179,211011254,211011254,2024,3850385,14.351000000009662,66684.39692493621,1388.0,522
447,3168,212041310,212041310,2024,3850385,14.351000000009662,57838.15729246428,2023.0,2049
448,3071,209021428,209021428,2024,3850385,14.351000000009662,67148.23005991708,2937.0,1521
449,3155,211011251,211011251,2024,3850385,14.351000000009662,63745.27268853737,1926.0,2261
450,3123,207011152,207011152,2024,3850385,14.351000000009662,105152.77588806674,4316.0,764
451,3044,210031537,210031239,2024,3850385,14.351000000009662,71686.73718560534,3360.0,1556
452,3956,205031087,205031087,2024,3850385,14.351000000009662,54689.40518027684,486.0,183
453,3130,207031162,207031162,2024,3850385,14.351000000009662,72025.71822019806,3473.0,1312
454,3919,214021379,214021379,2024,3850385,14.351000000009662,64447.81676828163,583.0,286
455,3094,209011202,209011202,2024,3850385,14.351000000009662,78399.51949488837,1854.0,340
456,3126,207011155,207011155,2024,3850385,14.351000000009662,119837.91876931537,3333.0,319
457,3058,209021429,209021429,2024,3850385,14.351000000009662,70778.16805917956,3832.0,3545
458,3943,214021383,214021383,2024,3850385,14.351000000009662,67099.75162866386,703.0,259
459,3644,216021411,216021411,2024,3850385,14.351000000009662,58968.72485586256,463.0,826
460,3079,209011201,209011201,2024,3850385,14.351000000009662,114429.08883577913,2288.0,971
461,3555,202011023,202011023,2024,3850385,14.351000000009662,67877.08458199445,530.0,1741
462,3149,212051322,212051322,2024,3850385,14.351000000009662,67325.24056463363,2970.0,1507
463,3115,211021262,211021262,2024,3850385,14.351000000009662,95596.43379668052,667.0,154
464,3338,213041578,213041357,2024,3850385,14.351000000009662,63994.18626597384,1410.0,2337
465,3079,209011199,209011199,2024,3850385,14.351000000009662,64912.84850174282,2541.0,971
466,3024,213051590,213051369,2024,3850385,14.351000000009662,66505.9621698279,2583.0,1594
467,3070,206021500,206021111,2024,3850385,14.351000000009662,84711.41756941564,4154.0,1953
468,3579,215031402,215031402,2024,3850385,14.351000000009662,53969.27080163639,466.0,493
469,3036,210011228,210011228,2024,3850385,14.351000000009662,75706.54908755422,948.0,415
470,3764,204011056,204011056,2024,3850385,14.351000000009662,66255.33262348734,482.0,767
471,3221,203021045,203021045,2024,3850385,14.351000000009662,58987.18271644972,818.0,102
472,3020,213011337,213011337,2024,3850385,14.351000000009662,55983.44194229972,1887.0,6255
473,3052,206041124,206041124,2024,3850385,14.351000000009662,82806.75885235006,2145.0,1205
474,3041,206031501,206031114,2024,3850385,14.351000000009662,87931.29023633385,3537.0,894
475,3730,216021412,216021412,2024,3850385,14.351000000009662,56629.29577369336,462.0,515
476,3461,201021011,201021011,2024,3850385,14.351000000009662,59706.59093581978,509.0,187
477,3031,206041121,206041121,2024,3850385,14.351000000009662,84635.62735421909,5124.0,2419
478,3912,214021385,214021385,2024,3850385,14.351000000009662,67599.29956862377,589.0,835
479,3683,204031070,204031070,2024,3850385,14.351000000009662,62475.3764966582,422.0,150
480,3012,213021343,213021343,2024,3850385,14.351000000009662,68897.71059708623,1296.0,2279
481,3498,215021395,215021395,2024,3850385,14.351000000009662,64013.43003112916,507.0,380
482,3331,203011034,203011034,2024,3850385,14.351000000009662,70426.97088299412,540.0,252
483,3029,213051582,213051365,2024,3850385,14.351000000009662,66098.06544573372,503.0,6060
484,3020,213011328,213011328,2024,3850385,14.351000000009662,58089.44668239588,2003.0,6255
485,3031,206031115,206031115,2024,3850385,14.351000000009662,73262.906914094,6317.0,2419
486,3144,206061135,206061135,2024,3850385,14.351000000009662,120097.7701518056,4654.0,811
487,3122,207011152,207011152,2024,3850385,14.351000000009662,105152.77588806674,4316.0,1515
488,3101,207011154,207011154,2024,3850385,14.351000000009662,96031.6088324678,2082.0,1522
489,3128,207031164,207031164,2024,3850385,14.351000000009662,74198.6362119033,3242.0,1858
490,3153,211031263,211031263,2024,3850385,14.351000000009662,67285.1181589025,1660.0,2111
491,3044,210031236,210031236,2024,3850385,14.351000000009662,67993.34230696782,1910.0,1556
492,3184,206051513,206051133,2024,3850385,14.351000000009662,84112.7140039294,7847.0,1003
