,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,SA2_CODE
2711,"UNIT 2/20 BETTINA STREET, CLAYTON",-37.919178,145.137236,4.0,1.0,2,$520_Weekly,Townhouse,January 2014,3168,2014,1,CLAYTON,520,211011446
2772,"4/58 KANOOKA GROVE, CLAYTON",-37.921733,145.126157,3.0,2.0,1,$400_Weekly,Townhouse,September 2014,3168,2014,9,CLAYTON,400,206041121
2844,"UNIT 3/25 ROSE STREET, CLAYTON",-37.922513,145.122499,3.0,1.0,2,$420_Weekly,Townhouse,March 2014,3168,2014,3,CLAYTON,420,213031352
2845,"UNIT 3/25 ROSE STREET, CLAYTON",-37.922513,145.122499,3.0,1.0,2,$420_Weekly,Townhouse,February 2014,3168,2014,2,CLAYTON,420,213031352
2854,"3/6 OLIVE STREET, CLAYTON",-37.930011,145.119843,2.0,1.0,2,$340_Weekly,Unit,February 2014,3168,2014,2,CLAYTON,340,208021177
2890,"1/8 MARSHALL AVENUE, CLAYTON",-37.907741,145.127956,4.0,2.0,1,$500,Townhouse,August 2014,3168,2014,8,CLAYTON,500,206021112
2943,"2/54 PANORAMA STREET, CLAYTON",-37.921554,145.129661,3.0,2.0,2,$460_p.w.,Townhouse,August 2014,3168,2014,8,CLAYTON,460,209041530
2944,"2/54 PANORAMA STREET, CLAYTON",-37.921554,145.129661,3.0,2.0,2,$460_Weekly,Townhouse,August 2014,3168,2014,8,CLAYTON,460,213031348
2945,"2/54 PANORAMA STREET, CLAYTON",-37.921554,145.129661,3.0,2.0,2,$460,Townhouse,August 2014,3168,2014,8,CLAYTON,460,213031348
3038,"3/17 FRANCIS STREET, CLAYTON",-37.924666,145.123304,2.0,1.0,1,$370_pw,Unit,April 2014,3168,2014,4,CLAYTON,370,212011289
3056,"111 MORIAH STREET, CLAYTON",-37.926725,145.129152,4.0,3.0,2,$670_Weekly,Townhouse,October 2014,3168,2014,10,CLAYTON,670,206051513
3138,"43 HARLINGTON STREET, CLAYTON",-37.923241,145.110846,3.0,1.0,1,$380_Weekly,House,August 2014,3168,2014,8,CLAYTON,380,213031352
3139,"43 HARLINGTON STREET, CLAYTON",-37.923241,145.110846,3.0,1.0,1,$380_Weekly,House,July 2014,3168,2014,7,CLAYTON,380,213031352
3140,"43 HARLINGTON STREET, CLAYTON",-37.923241,145.110846,3.0,1.0,1,$310_Weekly,House,April 2014,3168,2014,4,CLAYTON,310,209041217
3324,"35 DENNIS STREET, CLAYTON",-37.91795,145.138633,5.0,2.0,1,$580_Weekly,House,April 2014,3168,2014,4,CLAYTON,580,213031348
3340,"UNIT 3/11 YARRAM CRESCENT, CLAYTON",-37.926088,145.115029,2.0,1.0,1,$325_Weekly,Townhouse,April 2014,3168,2014,4,CLAYTON,325,207031165
3341,"UNIT 3/11 YARRAM CRESCENT, CLAYTON",-37.926088,145.115029,2.0,1.0,1,$325_Weekly,Townhouse,March 2014,3168,2014,3,CLAYTON,325,211011255
3417,"126 MORIAH STREET, CLAYTON",-37.927922,145.129585,4.0,2.0,2,$595,House,March 2014,3168,2014,3,CLAYTON,595,201011483
3671,"9/34 WELLINGTON ROAD, CLAYTON",-37.915995,145.133951,1.0,1.0,1,$245,none,March 2014,3168,2014,3,CLAYTON,245,202011022
3873,"1/31 GLENBROOK AVE, CLAYTON",-37.909189,145.123384,3.0,1.0,2,$325,House,June 2014,3168,2014,6,CLAYTON,325,212051324
3890,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$341_pw,Rental_residential,August 2014,3168,2014,8,CLAYTON,341,205031093
3891,"10/10 ARNOTT STREET, CLAYTON",-37.9169379,145.1348441,2.0,1.0,1,$340_pw,Rental_residential,August 2014,3168,2014,8,CLAYTON,340,201011005
3898,"220/1457 NORTH ROAD, CLAYTON",-37.913578,145.124129,1.0,1.0,0,$240_per_week,Rental_residential,December 2014,3168,2014,12,CLAYTON,240,202031032
3910,"3/320 HAUGHTON ROAD, CLAYTON",-37.919046,145.111712,2.0,1.0,2,$350_per_week,Available Now,March 2014,3168,2014,3,CLAYTON,350,212031303
3945,"56 WELLINGTON ROAD, CLAYTON",-37.916257,145.136055,3.0,1.0,4,$365_pw,none,May 2014,3168,2014,5,CLAYTON,365,203031489
3969,"3/52 BEDDOE AVENUE, CLAYTON",-37.911613,145.128216,4.0,4.0,2,$630_p.w.,Townhouse,January 2014,3168,2014,1,CLAYTON,630,212051567
3970,"3/52 BEDDOE AVENUE, CLAYTON",-37.911613,145.128216,4.0,4.0,2,$630_pw,Townhouse,January 2014,3168,2014,1,CLAYTON,630,205031091
3971,"3/52 BEDDOE AVENUE, CLAYTON",-37.911613,145.128216,4.0,4.0,2,$630_Weekly,Townhouse,January 2014,3168,2014,1,CLAYTON,630,206021112
3972,"3/52 BEDDOE AVENUE, CLAYTON",-37.911613,145.128216,4.0,4.0,2,$630,Townhouse,January 2014,3168,2014,1,CLAYTON,630,206021112
4035,"4/2 MARY STREET, CLAYTON",-37.921719,145.121893,2.0,1.0,1,$310_p.w.,Unit/apmt,December 2014,3168,2014,12,CLAYTON,310,202031032
4036,"4/2 MARY STREET, CLAYTON",-37.921719,145.121893,2.0,1.0,1,$310_pw,Unit/apmt,December 2014,3168,2014,12,CLAYTON,310,216021414
4037,"4/2 MARY STREET, CLAYTON",-37.921719,145.121893,2.0,1.0,1,$310_Weekly,Unit/apmt,December 2014,3168,2014,12,CLAYTON,310,216021414
4038,"4/2 MARY STREET, CLAYTON",-37.921719,145.121893,2.0,1.0,1,$310,Unit/apmt,December 2014,3168,2014,12,CLAYTON,310,207011522
4093,"18/1 MONASH GREEN DRIVE, CLAYTON",-37.922584,145.128255,2.0,1.0,1,$340,Unit/apmt,July 2014,3168,2014,7,CLAYTON,340,211051278
4094,"18/1 MONASH GREEN DRIVE, CLAYTON",-37.922584,145.128255,2.0,1.0,1,$340,Unit/apmt,May 2014,3168,2014,5,CLAYTON,340,206041118
4170,"12/6 ARNOTT STREET, CLAYTON",-37.916706,145.135221,1.0,1.0,1,$360_p.w.,Unit/apmt,December 2014,3168,2014,12,CLAYTON,360,216021413
