,year,month,address,latitude,longitude,postcode,sa2_2021,sa2_2016,residence_type,nbed,nbath,ncar,min_distance_to_cbd,min_distance_to_park,min_distance_to_prim,min_distance_to_second,min_distance_to_train,min_distance_to_hosp,min_distance_to_poli,min_distance_to_shop,weekly_rent
14631,2020,2,"465 GHERANG ROAD, GHERANG",-38.31606913,144.08329765,3240,203011036,203011036,House,4.0,2.0,1,115.8718,10.2261,10.0421,,13.89861,16.28528,15.26495,,650.0
14632,2020,4,"466 DANDENONG ROAD, CAULFIELD NORTH",-37.8634454,145.0207636,3161,208021177,208021177,Apartment,2.0,1.0,1,10.4233,2.19699,1.95492,1.4708599999999998,3.37979,,,1.72323,896.0
14633,2020,5,"466 DANDENONG ROAD, CAULFIELD NORTH",-37.8634454,145.0207636,3161,208021177,208021177,Apartment,2.0,1.0,1,10.4233,2.19699,1.95492,1.4708599999999998,3.37979,,,1.72323,720.0
14634,2020,8,"466 DANDENONG ROAD, CAULFIELD NORTH",-37.8634454,145.0207636,3161,208021177,208021177,Apartment,2.0,1.0,1,10.4233,2.19699,1.95492,1.4708599999999998,3.37979,,,1.72323,595.0
14635,2020,9,"466 DANDENONG ROAD, CAULFIELD NORTH",-37.8634454,145.0207636,3161,208021177,208021177,Apartment,2.0,1.0,1,10.4233,2.19699,1.95492,1.4708599999999998,3.37979,,,1.72323,680.0
14636,2020,7,"467 FITZROY STREET, FITZROY",-37.7943203,144.9779434,3065,206071142,206071142,House,3.0,2.0,2,3.25348,1.65765,1.35606,0.91223,2.0947600000000004,2.18797,1.75144,,990.0
14637,2020,4,"468 BAY STREET, PORT MELBOURNE",-37.834174,144.946727,3207,206051130,206051130,Apartment,2.0,1.0,0,4.53952,0.95791,1.57486,,0.62949,,1.11771,,850.0
14638,2020,7,"468 BAY STREET, PORT MELBOURNE",-37.834174,144.946727,3207,206051130,206051130,Apartment,2.0,1.0,0,4.53952,0.95791,1.57486,,0.62949,,1.11771,,850.0
14639,2020,1,"468 WARNOCK ROAD, SWANPOOL",-36.778111,146.027038,3673,204021064,204021064,House,3.0,2.0,2,221.77414,43.43595,7.1776800000000005,50.80021,36.37284,,,,480.0
14640,2020,5,"46A ANZAC CRESCENT, WILLIAMSTOWN",-37.861978,144.884911,3016,213021346,213021346,House,4.0,3.0,2,14.65541,0.78355,1.40354,0.4490699999999999,0.98598,0.61286,2.53383,,975.0
14641,2020,3,"46A FORD STREET, IVANHOE",-37.76443001,145.0394001,3079,209011200,209011200,House,3.0,2.0,2,11.61071,0.00996,0.52887,,1.58168,1.17938,,,600.0
14642,2020,12,"46A JACKSONS CREEK WAY, GISBORNE",-37.4853001,144.60396001,3437,210021232,210021232,House,4.0,2.0,2,54.08197,2.46136,1.8561,2.86977,5.835310000000001,,2.19077,,500.0
14643,2020,3,"46A KANGAROO GROUND-WATTLE GLEN ROAD, WATTLE GLEN",-37.6686458,145.1853554,3096,209031215,209031215,House,3.0,1.0,0,31.91871,1.27703,0.58688,2.59674,1.02385,,2.73746,,450.0
