bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price
2.0,2.0,1.0,,428/539 St Kilda Road Melbourne VIC 3004,-37.8456005,144.9794822,$1024pw - Stay 1 mth+
2.0,2.0,2.0,,1306/582 St Kilda Road Melbourne VIC 3004,-37.8493082,144.9794216,$1100 per week
2.0,2.0,1.0,,1317/35 Albert Road Melbourne VIC 3004,-37.834695,144.9721117,$650 weekly
3.0,2.0,2.0,,1604/250 St Kilda Road Melbourne VIC 3004,-37.8259165,144.9705248,"$1,600"
2.0,2.0,1.0,,1101/605 St Kilda Road Melbourne VIC 3004,-37.85091269999999,144.9814593,$600 per week
3.0,3.0,2.0,,1801/572 St Kilda Road Melbourne VIC 3004,-37.8477661,144.9786951,"$1,300 per week"
2.0,2.0,1.0,,1606/8 Bowen Crescent Melbourne VIC 3004,-37.8354199,144.9725792,$650 Per Week
2.0,2.0,1.0,,802/35 Albert Road Melbourne VIC 3004,-37.834695,144.9721117,$575.00
2.0,2.0,2.0,,1501/601 St Kilda Road Melbourne VIC 3004,-37.8504751,144.981546,Whole floor penthouse - $1800 Per Week
3.0,2.0,2.0,,801/12 Queens Road Melbourne VIC 3004,-37.8384194,144.9747126,$900.00
2.0,2.0,1.0,2320.0,715/568 St Kilda Road Melbourne VIC 3004,-37.8471627,144.978741,$580 per week
3.0,2.0,1.0,,478 St Kilda Road Melbourne VIC 3004,-37.8425885,144.9770385,$800
2.0,2.0,1.0,,909/450 St Kilda Road Melbourne VIC 3004,-37.8387716,144.975576,$600/week
2.0,2.0,1.0,,709/14 Queens Road Melbourne VIC 3004,-37.8389211,144.9749946,$850 Per Week Fully Furnished
3.0,2.0,2.0,,233/416 St Kilda Road Melbourne VIC 3004,-37.8355104,144.974613,$760.00
2.0,2.0,2.0,,321/499 St Kilda Road Melbourne VIC 3004,-37.8431328,144.9793408,$1299 per week (Fully furnished)
3.0,2.0,2.0,,803/430 St Kilda Road Melbourne VIC 3004,-37.837123,144.9751256,$1400.00 per week
