HEANY PARK PRIMARY SCHOOL,2521351.436112269,2396331.4930797163
HOLY CROSS PRIMARY SCHOOL,2464416.998058905,2449336.431858653
HOLY EUCHARIST SCHOOL,2483382.134088517,2416040.5558799785
HOLY FAMILY SCHOOL,2520962.0794563815,2390052.388138554
HOLY FAMILY SCHOOL,2511404.722208585,2402972.7237825086
HOLY NAME SCHOOL,2501636.8871712503,2418962.4188463464
HOLY ROSARY SCHOOL,2473370.7015377334,2509092.431574825
HOLY ROSARY SCHOOL,2438421.4463432697,2530305.084984407
HOLY SAVIOUR PARISH SCHOOL,2515402.2778935027,2404289.3271244215
PENLEIGH AND ESSENDON GRAMMAR SCHOOL - MOONEE PONDS CAMPUS,2492289.465677219,2415473.021510453
TINTERN SCHOOLS - SOUTHWOOD BOYS GRAMMAR SCHOOL,2519710.864991318,2407844.155937181
MARIBYRNONG PRIMARY SCHOOL,2490443.884806533,2414408.9938717037
CAULFIELD GRAMMAR PRE-PREP,2516764.0541503136,2400155.6396895675
BURWOOD HEIGHTS PRIMARY SCHOOL,2514431.140946822,2406000.2925259722
SPENSLEY STREET PRIMARY SCHOOL - GLEN FORBES CAMP,2547621.9733665264,2337907.613784114
SACRED HEART SCHOOL,2520074.644506886,2562131.3685652986
ST MARYS SCHOOL,2654583.697506843,2548132.764450595
ST PATRICKS SCHOOL,2618639.3179334225,2570614.91751994
ST PATRICKS SCHOOL,2343200.1765692453,2541044.259290369
TONGALA PRIMARY SCHOOL,2496092.4633585894,2582978.2883029804
WILMOT ROAD PRIMARY SCHOOL SHEPPARTON,2536408.805315623,2566663.161621006
ALL SAINTS PARISH SCHOOL,2202228.09242726,2343791.4212975334
ALTONA GREEN PRIMARY SCHOOL,2481080.6161144488,2401570.6258355686
ANNUNCIATION SCHOOL,2486614.2238974203,2408882.17374702
ASPENDALE GARDENS PRIMARY SCHOOL,2510255.760630973,2386519.360839595
BALLARAT PRIMARY SCHOOL (DANA STREET),2398758.647668197,2436803.6088579874
BALLARAT STEINER SCHOOL,2399590.089450816,2428295.391402101
BASS VALLEY PRIMARY SCHOOL,2542683.9094204605,2341044.2488669762
BELLE VUE PARK PRIMARY SCHOOL,2495056.5848234566,2422186.2850828506
BENALLA CHRISTIAN SCHOOL,2589439.8423715136,2549745.726390168
BERWICK LODGE PRIMARY SCHOOL,2528747.0355092627,2385518.3038134035
BETHANY CATHOLIC PRIMARY SCHOOL,2469969.819472171,2402779.0339746065
BIG HILL PRIMARY SCHOOL,2432432.3401598907,2518529.913047772
BOURCHIER STREET PRIMARY SCHOOL SHEPPARTON,2537058.35640854,2570206.5450748634
CANA CATHOLIC PRIMARY SCHOOL,2477699.589535075,2423631.9663210586
CARDROSS PRIMARY SCHOOL,2236927.4815911762,2797022.6335556656
CHALCOT LODGE PRIMARY SCHOOL,2521764.815337655,2392355.7206169115
CHRIST OUR HOLY REDEEMER SCHOOL,2509301.0820957916,2400544.626953502
CHRIST THE KING PRIMARY SCHOOL,2487841.429041153,2412588.787443367
CHRIST THE KING SCHOOL,2446812.693227759,2370367.4401931763
CLIFTON SPRINGS PRIMARY SCHOOL,2460837.641558945,2370543.8575374307
CRAIGIEBURN PRIMARY SCHOOL,2494131.2020071596,2435342.348481683
CROYDON HILLS PRIMARY SCHOOL,2523965.6187754106,2413776.4347285135
AINSLIE PARKLANDS PRIMARY SCHOOL,2523273.2325686296,2411881.6277974453
DEUTSCHE SCHULE MELBOURNE,2498482.2017427026,2413571.920781168
DONCASTER GARDENS PRIMARY SCHOOL,2513028.070878054,2413253.3987953374
EDINBURGH ADVENTIST PRIMARY SCHOOL,2530896.047195631,2412852.555937169
EMMAUS CATHOLIC PRIMARY SCHOOL,2479915.7156300284,2422263.5994708296
BEECHWORTH MONTESSORI PRIMARY SCHOOL,2652179.342362357,2568763.8226773776
KOONWARRA VILLAGE SCHOOL,2582302.3797668004,2327791.2339674225
SACRED HEART SCHOOL,2760691.495681299,2584991.0312512033
ST ALBANS SOUTH PS OSHC -EXTEND,2482684.7649871465,2416217.8308555167
NORTHWEST MARIA MONTESSORI,2497630.920125072,2417862.3953413907
GISBORNE MONTESSORI SCHOOL,2464613.1111317733,2449614.6925976835
GLEN KATHERINE PRIMARY SCHOOL,2512333.0280250804,2423423.900867246
GLENGALA/SUNSHINE WEST PRIMARY SCHOOL,2483718.270585767,2411289.9122614553
GLENGALA PRIMARY SCHOOL,2483718.270585767,2411289.9122614553
