,STATION,STATUS,STOPID_MTR,STID_VLINE,PREMIUM,METRO,VLINE,INTERSTATE,STOP_ZONE,COMMENTS,geometry,postcode,suburb
67,Jewell,Active,19969,,No,Yes,No,No,1,,POINT (144.95875494163747 -37.77483683687167),3056,Brunswick
68,Jolimont,Active,20315,,No,Yes,No,No,1,,POINT (144.98388393275408 -37.81648683884837),3002,East Melbourne
69,Jordanville,Active,19840,,No,Yes,No,No,2,,POINT (145.1120949042383 -37.87358584801025),3149,Mount Waverley
70,Kananook,Active,19856,,No,Yes,No,No,2,,POINT (145.1355098728351 -38.12140785115691),3198,Seaford
71,Kangaroo Flat,Active,,20317,No,No,Yes,No,"Reg, 12, 1",,POINT (144.2489581653142 -36.79507578327929),3555,Kangaroo Flat
72,Kensington,Active,20041,,No,Yes,No,No,1,,POINT (144.9304729445234 -37.79347283505635),3031,Kensington
73,Keon Park,Active,20008,,No,Yes,No,No,2,,POINT (145.01186694116095 -37.69449684000741),3074,Thomastown
74,Kerang,Active,,20318,No,No,Yes,No,Reg,,POINT (143.92445832347758 -35.73292475549186),3579,Kerang
75,Kilmore East,Active,,20319,No,No,Yes,No,"Reg, 3, 4",,POINT (144.9836489892331 -37.29370283556962),3764,Kilmore East
76,Kooyong,Active,19910,,No,Yes,No,No,1,,POINT (145.03312692166057 -37.83980784236789),3144,Kooyong
77,Kyneton,Active,,20320,No,No,Yes,No,"Reg, 6, 7",,POINT (144.4508180837443 -37.25842479947875),3444,Kyneton
78,Laburnum,Active,19897,,No,Yes,No,No,2,,POINT (145.1406459050746 -37.82078684965345),3130,Blackburn
79,Lalor,Active,20006,,No,Yes,No,No,2,,POINT (145.01741394336045 -37.66540284020664),3075,Lalor
80,Lara,Active,,20321,No,No,Yes,No,"2, 3, 4",,POINT (144.41470001011854 -38.02176280182453),3212,Lara
81,Laverton,Active,19923,,Yes,Yes,No,No,"1, 2",,POINT (144.77262096438824 -37.86368082477393),3028,Laverton
82,Leawarra,Active,19836,,No,Yes,No,No,2,,POINT (145.13955686873783 -38.15199185162468),3199,Frankston
83,Lilydale,Active,19876,,Yes,Yes,No,No,2,Metro Terminus,POINT (145.34823687638 -37.75500586367241),3140,Lilydale
84,Little River,Active,,20323,No,No,Yes,No,2,,POINT (144.4988750016036 -37.96279580704116),3211,Little River
85,Longwarry,Active,,20324,No,No,Yes,No,"Reg, 5, 6",,POINT (145.77025476267283 -38.112528895766765),3816,Longwarry
