,sec_school,longitude,latitude,postcode,suburb
538,ESSENDON TECHNICAL SCHOOL,144.924029980671,-37.7562400013861,3040,ESSENDON
539,CANTERBURY GIRLS SECONDARY COLLEGE,145.069099994545,-37.8202899907188,3126,CANTERBURY
540,CANTERBURY GIRLS HIGH SCHOOL,145.069099994545,-37.8202899907188,3126,CANTERBURY
541,EAGLEHAWK TECHNICAL SCHOOL,144.261630025769,-36.7200600036331,3556,EAGLEHAWK
542,EAGLEHAWK HIGH SCHOOL,144.261630025769,-36.7200600036331,3556,EAGLEHAWK
543,EAST DONCASTER SECONDARY COLLEGE,145.158559987212,-37.7821299896517,3109,DONCASTER EAST
544,EMILY MCPHERSON COLLEGE,144.965699979995,-37.806509998543,3053,CARLTON
545,ENDEAVOUR HILLS SECONDARY COLLEGE,145.242369969917,-37.9790099986822,3802,ENDEAVOUR HILLS
546,EPPING HIGH SCHOOL,145.03342999392,-37.6440000021723,3076,EPPING
547,ERINBANK HIGH SCHOOL,144.906529993849,-37.6715100006671,3049,WESTMEADOWS
548,HOPPERS CROSSING SECONDARY COLLEGE,144.695359981039,-37.8712199936123,3029,HOPPERS CROSSING
549,HOPPERS CROSSING POST PRIMARY SCHOOL,144.695359981039,-37.8712199936123,3029,HOPPERS CROSSING
550,EXHIBITION HIGH SCHOOL,144.974869985158,-37.799569996127,3065,FITZROY
551,FAIRHILLS HIGH SCHOOL,145.25903997874,-37.8732099951861,3180,KNOXFIELD
552,TOTTENHAM COMMUNITY SECONDARY COLLEGE,144.855139983931,-37.7904000009102,3019,BRAYBROOK
553,TRAFALGAR HIGH SCHOOL,146.158299983939,-38.2145699985137,3824,TRAFALGAR
554,TORMORE SECONDARY COLLEGE,145.280139976801,-37.8576299975581,3155,BORONIA
555,DEBNEY PARK SECONDARY COLLEGE,144.93323995627,-37.7821499971751,3031,FLEMINGTON
556,MOUNT ALEXANDER 7-12 COLLEGE,144.93323995627,-37.7821499971751,3031,FLEMINGTON
557,GROVEDALE TECHNICAL SCHOOL,144.26013999585,-38.2067900157885,3216,WAURN PONDS
558,GROVEDALE HIGH SCHOOL,144.26013999585,-38.2067900157885,3216,WAURN PONDS
559,GROVEDALE COLLEGE,144.26013999585,-38.2067900157885,3216,WAURN PONDS
560,HAMPTON PARK SECONDARY COLLEGE,145.259879969656,-38.0348599962449,3976,HAMPTON PARK
561,AUSTRALIAN COUNTER DISASTER COLLEGE,144.590139963189,-37.4092899966896,3441,MOUNT MACEDON
562,AVONDALE SECONDARY COLLEGE,144.861259971593,-37.7651299991692,3034,AVONDALE HEIGHTS
563,AVONDALE HIGH SCHOOL,144.861259971593,-37.7651299991692,3034,AVONDALE HEIGHTS
564,HALLAM HIGH SCHOOL,145.260979973263,-38.0006799981103,3803,HALLAM
565,PETER LALOR SECONDARY COLLEGE,145.013159986931,-37.6669099999246,3075,LALOR
566,LALOR TECHNICAL SCHOOL,145.013159986931,-37.6669099999246,3075,LALOR
567,POINT GELLIBRAND GIRLS HIGH SCHOOL,144.884449989838,-37.8644300003609,3016,WILLIAMSTOWN
568,WILLIAMSTOWN HIGH SCHOOL BAYVIEW CAMPUS,144.884449989838,-37.8644300003609,3016,WILLIAMSTOWN
569,PRAHRAN SECONDARY COLLEGE,144.991159973653,-37.8517499965651,3181,WINDSOR
570,PRAHRAN HIGH SCHOOL,144.991159973653,-37.8517499965651,3181,WINDSOR
571,PYRAMID HILL COLLEGE,144.114589913724,-36.0506799457848,3575,PYRAMID HILL
572,PYRAMID HILL HIGHER ELEMENTARY SCHOOL,144.114589913724,-36.0506799457848,3575,PYRAMID HILL
573,HASTINGS SECONDARY COLLEGE,145.174030025211,-38.3090099969732,3915,HASTINGS
574,HASTINGS HIGH SCHOOL,145.174030025211,-38.3090099969732,3915,HASTINGS
575,HEATHERHILL SECONDARY COLLEGE,145.15041996988,-37.9706799962575,3172,SPRINGVALE SOUTH
576,HEATHERHILL HIGH SCHOOL,145.15041996988,-37.9706799962575,3172,SPRINGVALE SOUTH
577,HEATHMONT SECONDARY COLLEGE,145.232099976263,-37.8384299940977,3135,HEATHMONT
578,HEATHMONT COLLEGE,145.232099976263,-37.8384299940977,3135,HEATHMONT
579,EASTERN SECONDARY COLLEGE,145.238479984748,-37.8240099974514,3135,HEATHMONT
580,RINGWOOD TECHNICAL SCHOOL,145.238479984748,-37.8240099974514,3135,HEATHMONT
581,HEIDELBERG HIGH SCHOOL,145.039589951712,-37.7556800002897,3081,BELLFIELD
582,HEIDELBERG TECHNICAL SCHOOL,145.04430996547,-37.7503999995811,3081,HEIDELBERG WEST
583,HIGHVALE HIGH SCHOOL,145.176819986887,-37.865409992432,3150,GLEN WAVERLEY
584,HILLCREST SECONDARY COLLEGE,144.912369970791,-37.6812400021254,3047,BROADMEADOWS
585,BROADMEADOWS WEST TECHNICAL SCHOOL,144.912369970791,-37.6812400021254,3047,BROADMEADOWS
586,ALBERT PARK HIGH SCHOOL,144.947369969077,-37.8442899965248,3206,ALBERT PARK
587,BEECHWORTH SECONDARY COLLEGE,146.690759982383,-36.3472199822315,3747,BEECHWORTH
588,BEECHWORTH HIGH SCHOOL,146.690759982383,-36.3472199822315,3747,BEECHWORTH
589,WEEROONA COLLEGE BENDIGO,144.29797999578,-36.7389300021336,3550,WHITE HILLS
590,BENDIGO INSTITUTE OF TECHNOLOGY,144.288200010805,-36.7548500035934,3550,BENDIGO
591,BENDIGO SENIOR SECONDARY COLLEGE,144.279280015254,-36.7553000020119,3550,BENDIGO
592,BENDIGO HIGH SCHOOL,144.279280015254,-36.7553000020119,3550,BENDIGO
593,BERWICK SECONDARY COLLEGE,145.365439986598,-38.0313999965906,3806,BERWICK
594,BERWICK HIGH SCHOOL,145.365439986598,-38.0313999965906,3806,BERWICK
595,KINGS PARK SECONDARY COLLEGE DELAHEY SENIOR CAMPUS,144.772639979936,-37.7187400028776,3037,DELAHEY
596,JAMES HARRISON SECONDARY COLLEGE,144.382369959766,-38.1734599966193,3219,THOMSON
597,GEELONG EAST TECHNICAL SCHOOL,144.382369959766,-38.1734599966193,3219,THOMSON
598,BORONIA PRIMARY SCHOOL,145.29166997466,-37.8588799963692,3155,BORONIA
599,GISBORNE SECONDARY COLLEGE,144.584770017776,-37.4981099988851,3437,GISBORNE
600,GLADSTONE PARK HIGH SCHOOL,144.889999969738,-37.6897700006552,3043,GLADSTONE PARK
601,KOO-WEE-RUP HIGH SCHOOL,145.496809978064,-38.1959599978383,3981,KOO WEE RUP
602,BOX HILL SENIOR SECONDARY COLLEGE,145.111909993326,-37.8092399885987,3129,MONT ALBERT NORTH
603,DANDENONG HIGH SCHOOL,145.209169973816,-37.978039997371,3175,DANDENONG
604,COPPERFIELD COLLEGE DELAHEY SENIOR CAMPUS,144.772639979936,-37.7187400028776,3037,DELAHEY
605,KANIVA CONSOLIDATED SCHOOL,141.244310031931,-36.3806799759427,3419,KANIVA
606,SALE COLLEGE - GUTHRIDGE CAMPUS,147.083620020794,-38.0982399853062,3850,SALE
607,Castlemaine Secondary College- Junior Campus,144.22750002004,-37.0505400004888,3450,CASTLEMAINE
608,MOUNT WAVERLEY SECONDARY COLLEGE - MIDDLE SENIOR CAMPUS,145.132310001217,-37.8690899873775,3149,MOUNT WAVERLEY
609,GREYTHORN HIGH SCHOOL,145.096259959887,-37.801509989472,3104,BALWYN NORTH
610,DONVALE HIGH SCHOOL,145.177089998024,-37.8001299900456,3111,DONVALE
611,MOUNT SCOPUS MEMORIAL COLLEGE - FINK KARP IVANY CAMPUS,145.033689987035,-37.8995699927768,3162,CAULFIELD SOUTH
612,COBURG SENIOR HIGH SCHOOL,144.974999988663,-37.7394300027626,3058,COBURG
613,PRAHRAN HIGH SCHOOL,144.99168997356,-37.8517499966014,3181,WINDSOR
614,WESTALL SECONDARY COLLEGE,145.13657997264,-37.9403099981133,3169,CLAYTON SOUTH
615,BROOKSIDE P-9 COLLEGE,144.738199983052,-37.7454000017184,3023,CAROLINE SPRINGS
616,ST ARNAUD SECONDARY COLLEGE,143.250940027705,-36.6095500189203,3478,SAINT ARNAUD
617,GROVEDALE SECONDARY COLLEGE,144.26013999585,-38.2067900157885,3216,WAURN PONDS
618,HAMPTON HIGH SCHOOL,145.006529993155,-37.9326299921185,3188,HAMPTON
619,UPFIELD HIGH SCHOOL,144.930329988172,-37.6304100000335,3064,ROXBURGH PARK
620,FOSTER HIGH SCHOOL,146.201259989561,-38.6515099963507,3960,FOSTER
621,KARINGAL SECONDARY COLLEGE,145.146809986748,-38.1403999970547,3199,FRANKSTON
622,CRANBOURNE SECONDARY COLLEGE,145.286139967957,-38.1075899955221,3977,CRANBOURNE
623,WYNDHAM CENTRAL SECONDARY COLLEGE,144.653849967383,-37.8889299959334,3030,WERRIBEE
624,GEELONG HIGH SCHOOL,144.373729972453,-38.1530299959244,3219,EAST GEELONG
625,KEILOR DOWNS SECONDARY COLLEGE,144.811189987605,-37.7155200044653,3038,KEILOR DOWNS
626,RINGWOOD SECONDARY COLLEGE,145.239149981449,-37.816610000452,3134,RINGWOOD
627,SUNBURY DOWNS SECONDARY COLLEGE,144.704489964082,-37.5840100004453,3429,SUNBURY
628,Sunshine High School,144.829279962415,-37.7904499991558,3020,SUNSHINE
629,Sunshine West High School,144.813889965808,-37.7930400001289,3020,SUNSHINE WEST
630,LAKE BOLAC COLLEGE,142.835980010932,-37.720679990754,3351,LAKE BOLAC
631,MERBEIN HIGH SCHOOL,142.070980013775,-34.1695700318465,3505,MERBEIN
632,COBURG HIGH SCHOOL,144.972799992906,-37.74070000262,3058,COBURG
633,TALLANGATTA HIGH SCHOOL,147.172670109096,-36.2204398041837,3700,TALLANGATTA
634,COBRAM SECONDARY COLLEGE,145.654119947324,-35.9136100435027,3644,COBRAM
635,HAZEL GLEN COLLEGE ,145.122909958413,-37.5988700010483,3754,DOREEN
636,BRUNSWICK EAST HIGH SCHOOL,144.965419980053,-37.7695700032947,3056,BRUNSWICK
637,BUCKLEY PARK HIGH SCHOOL,144.897759991209,-37.7471200015396,3040,ESSENDON
638,KEW HIGH SCHOOL,145.063360000244,-37.7955499921706,3102,KEW EAST
639,MACLEOD HIGH SCHOOL,145.070979987669,-37.7245700022537,3085,MACLEOD
640,NORLANE HIGH SCHOOL,144.341389993569,-38.0827599973634,3214,NORLANE
641,YARRA HILLS SECONDARY COLLEGE - SENIOR CAMPUS,145.315759978263,-37.7886999986134,3138,MOOROOLBARK
642,HIGHVIEW CHRISTIAN COMMUNITY COLLEGE,143.736419979045,-37.0535299989382,3465,MARYBOROUGH
643,XAVIER COLLEGE,145.031110021843,-37.8138499890687,3122,HAWTHORN
644,ST COLUMBAS COLLEGE,144.914289987255,-37.7572000007281,3040,ESSENDON
645,VICTORIA UNIVERSITY SECONDARY COLLEGE - DEER PARK CAMPUS,144.767079980599,-37.758890002751,3023,DEER PARK
646,PAYIKA COLLEGE A KOORIE PATHWAYS SCHOOL (INTERIM NAME),143.562730037172,-35.3559199801717,3585,SWAN HILL
647,SUNSHINE COLLEGE - SUNSHINE WORK EDUCATION TRAINING UNIT,144.829219962443,-37.7902799991508,3020,SUNSHINE
648,DIMBOOLA MEMORIAL HIGH SCHOOL,142.034410011807,-36.4498399774756,3414,DIMBOOLA
649,BALLARAT CLARENDON COLLEGE - SECOND CAMPUS,143.851179980097,-37.5585199983728,3350,BALLARAT CENTRAL
650,KEON PARK TECHNICAL SCHOOL,145.010139987909,-37.6995700029207,3073,RESERVOIR
651,BORONIA K-12 COLLEGE - MOUNT VIEW CAMPUS,145.300979972936,-37.8598499960243,3155,BORONIA
652,KURUNJANG SECONDARY COLLEGE,144.585959983135,-37.6729099950517,3337,KURUNJANG
653,KYABRAM HIGH SCHOOL,145.054589980869,-36.317350013223,3620,KYABRAM
654,KYNETON HIGH SCHOOL,144.458169984226,-37.2513300009215,3444,KYNETON
655,LEONGATHA HIGH SCHOOL,145.961239986599,-38.4786899977839,3953,LEONGATHA
656,POINT GELLIBRAND GIRLS SECONDARY COLLEGE,144.884449989838,-37.8644300003609,3016,WILLIAMSTOWN
657,MARIBYRNONG SECONDARY COLLEGE,144.888239983361,-37.7795200010927,3032,MARIBYRNONG
658,EAGLEHAWK SECONDARY COLLEGE,144.261630025769,-36.7200600036331,3556,EAGLEHAWK
659,DONCASTER EAST HIGH SCHOOL,145.158559987212,-37.7821299896517,3109,DONCASTER EAST
660,WELLINGTON HIGH SCHOOL,145.169379981568,-37.9344699973448,3170,MULGRAVE
661,BENTLEIGH SECONDARY COLLEGE,145.059799995445,-37.9273599887424,3165,BENTLEIGH EAST
662,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,144.964769972798,-37.828229995614,3006,SOUTHBANK
663,MORNINGTON TECHNICAL SCHOOL,145.057759975969,-38.2167099973851,3931,MORNINGTON
664,ROCHESTER HIGH SCHOOL,144.698699987656,-36.3527799822742,3561,ROCHESTER
665,SYNDAL HIGH SCHOOL,145.139589997106,-37.8767899879279,3149,MOUNT WAVERLEY
666,KERANG TECHNICAL HIGH SCHOOL,143.913800009897,-35.7256499987633,3579,KERANG
667,MURRUMBEENA SECONDARY COLLEGE,145.061809959622,-37.9042899937379,3163,MURRUMBEENA
668,ROCHESTER SECONDARY COLLEGE,144.698699987656,-36.3527799822742,3561,ROCHESTER
669,SYNDAL SECONDARY COLLEGE,145.139589997106,-37.8767899879279,3149,MOUNT WAVERLEY
670,ROSEBUD HIGH SCHOOL,144.887449986453,-38.3676199956584,3939,ROSEBUD
671,YESODEI HATORAH COLLEGE,144.983609967665,-37.8728799931792,3184,ELWOOD
672,DEBNEY PARK HIGH SCHOOL,144.93323995627,-37.7821499971751,3031,FLEMINGTON
673,PAKENHAM HIGH TECHNICAL SCHOOL,145.470999981931,-38.0689999982357,3810,PAKENHAM
674,Edenbrook Secondary School,145.446509961986,-38.0798899985791,3810,PAKENHAM
675,Edenbrook Secondary College,145.446509961986,-38.0798899985791,3810,PAKENHAM
676,Footscray High School - Pilgrim Campus,144.897530003887,-37.8059899988892,3011,SEDDON
677,NUMURKAH SECONDARY COLLEGE,145.446269992096,-36.0799500338945,3636,NUMURKAH
678,EDGARS CREEK SECONDARY COLLEGE,145.005069986549,-37.6094900000125,3750,WOLLERT
679,RICHMOND HIGH SCHOOL - GRIFFITHS STREET CAMPUS,145.002799987369,-37.8174099971496,3121,RICHMOND
680,GLENROY SECONDARY COLLEGE,144.924999992075,-37.7047000011322,3046,GLENROY
681,HEATHMONT HIGH SCHOOL,145.232099976263,-37.8384299940977,3135,HEATHMONT
682,THOMASTOWN HIGH SCHOOL,145.001939956588,-37.6787200002292,3074,THOMASTOWN
683,ST KILDA ALTERNATIVE HIGH SCHOOL,144.981259970674,-37.8581799939274,3182,ST KILDA
684,NORTH SHEPPARTON SECONDARY COLLEGE,145.414029982742,-36.3662399914826,3630,SHEPPARTON
685,NORTHCOTE HIGH SCHOOL,144.989709972344,-37.7741600009848,3070,NORTHCOTE
686,TYRRELL COLLEGE,142.853200017828,-35.5090099548741,3533,SEA LAKE
687,Sunshine College - Ardeer Campus,144.795279980635,-37.7875000008347,3020,SUNSHINE WEST
688,ARDOCH HIGH SCHOOL,144.998200004577,-37.8595699970957,3181,BRIGHTON
689,ASHWOOD SECONDARY COLLEGE,145.103329995756,-37.86452998535,3147,ASHWOOD
690,BACCHUS MARSH SECONDARY COLLEGE,144.422919965374,-37.6537399960968,3340,DARLEY
691,BACCHUS MARSH COLLEGE MADDINGLEY CAMPUS,144.432639988259,-37.6865099959429,3340,MADDINGLEY
692,PRINCESS HILL SECONDARY COLLEGE,144.964309994708,-37.7837399973067,3054,PRINCES HILL
693,MOOROOLBARK HIGH SCHOOL,145.314229980037,-37.7750799984219,3138,MOOROOLBARK
694,Mooroopna Secondary College,145.351809971287,-36.3817700082267,3629,MOOROOPNA
695,YARRAWONGA HIGH SCHOOL,146.006809982751,-36.0217900025391,3730,YARRAWONGA
696,SEYMOUR COLLEGE - DELATITE ROAD CAMPUS,145.154709971649,-37.0293000056642,3660,SEYMOUR
697,ST KEVINS COLLEGE - GLENDALOUGH CAMPUS,145.020739995518,-37.8333399954781,3142,TOORAK
698,NHILL COLLEGE,141.658870017536,-36.3325899809309,3418,NHILL
699,ALPHINGTON GRAMMAR SCHOOL,145.036179970607,-37.7804199992093,3078,ALPHINGTON
700,KOONUNG SECONDARY COLLEGE,145.117559991119,-37.8021899919446,3129,MONT ALBERT NORTH
701,BRAEMAR COLLEGE,144.575699958497,-37.3631799974372,3441,MOUNT MACEDON
702,BRANDON PARK TECHNICAL SCHOOL,145.165419951432,-37.9056799948925,3150,WHEELERS HILL
703,BRAYBROOK COLLEGE,144.847539977558,-37.778260001319,3020,SUNSHINE NORTH
704,BRENTWOOD SECONDARY COLLEGE,145.166339967952,-37.899509994918,3150,GLEN WAVERLEY
705,BRIGHTON BAY SECONDARY COLLEGE,144.996530001143,-37.9028999902495,3186,BRIGHTON
706,BROADMEADOWS HIGH SCHOOL,144.93013998981,-37.6804000023317,3047,BROADMEADOWS
707,SEYMOUR COLLEGE - DELATITE ROAD CAMPUS,145.155139971577,-37.0292900056938,3660,SEYMOUR
708,GLENORMISTON AGRICULTURAL COLLEGE,142.953200010116,-38.1623499924561,3265,GLENORMISTON SOUTH
709,ALEXANDRA LADIES COLLEGE,142.03515005669,-37.727900013409,3300,HAMILTON
710,ARARAT COMMUNITY COLLEGE SECONDARY,142.921960019935,-37.2859999662167,3377,ARARAT
711,CARRUM DOWNS SECONDARY COLLEGE,145.197659991831,-38.0952899972967,3201,CARRUM DOWNS
712,Footscray High School Barkly Street Campus,144.894890001092,-37.7990899986667,3011,FOOTSCRAY
713,MATER CHRISTI COLLEGE,145.358889977227,-37.9106399963846,3160,BELGRAVE
714,NUNAWADING CHRISTIAN COLLEGE-SECONDARY,145.169019992958,-37.8225499906263,3131,NUNAWADING
715,TAYLORS SENIOR COLLEGE,144.960659970171,-37.8129499972384,3000,MELBOURNE
716,MARIAN COLLEGE,146.725359979918,-36.553339987177,3737,MYRTLEFORD
717,DANDENONG HIGH SCHOOL - BURREMAH GRASSMERE ANNEXE,145.229939987416,-37.9940699979118,3177,DOVETON
718,HUME CENTRAL SECONDARY COLLEGE - DIMBOOLA ROAD CAMPUS,144.913549968664,-37.6805200022013,3047,BROADMEADOWS
719,MACLEOD TECHNICAL SCHOOL,145.058479993348,-37.7290099994218,3085,MACLEOD
720,WARRNAMBOOL SECONDARY COLLEGE,142.49875995689,-38.3770699858668,3280,WARRNAMBOOL
721,WENDOUREE HIGH SCHOOL,143.833480015044,-37.5198499980052,3355,WENDOUREE
722,DONCASTER SECONDARY COLLEGE,145.138049987497,-37.7845799962496,3108,DONCASTER
723,CAMBERWELL HIGH SCHOOL,145.072819995822,-37.8301499930359,3126,CANTERBURY
724,DROUIN HIGH SCHOOL,145.85097997886,-38.1446599977639,3818,DROUIN
725,GEELONG TECHNICAL SCHOOL,144.324309975817,-38.1848500068649,3216,HIGHTON
726,SOUTH GIPPSLAND SECONDARY COLLEGE,146.197409987218,-38.6517399960694,3960,FOSTER
727,SOUTH MELBOURNE TECHNICAL SCHOOL,144.960139958037,-37.8426299963868,3206,ALBERT PARK
728,ST MARY MACKILLOP COLLEGE,143.556790068422,-35.3419099817094,3585,SWAN HILL
729,MERCY REGIONAL COLLEGE - OKEEFFE CAMPUS,142.928489997778,-38.1907199941442,3265,NOORAT
730,SIENA COLLEGE LTD,145.082579997743,-37.8336599867294,3124,CAMBERWELL
731,ST JOSEPHS COLLEGE,145.295089989559,-37.8904899948037,3156,FERNTREE GULLY
732,CATHOLIC COLLEGE SALE - SION CAMPUS,147.067290002579,-38.0985999830516,3850,SALE
733,WHITEFRIARS COLLEGE INC,145.19953999505,-37.791799993549,3111,DONVALE
734,YESODEI HATORAH COLLEGE - SENIOR CAMPUS,144.986509970351,-37.8711299933669,3184,ELWOOD
735,Footscray High School Kinnear Street Campus,144.894019989111,-37.7910599995577,3011,FOOTSCRAY
736,LOWANNA COLLEGE,146.285980020086,-38.1766799966646,3825,NEWBOROUGH
737,TWO RIVERS COLLEGE A KOORIE PATHWAYS SCHOOL,142.167830044046,-34.2047900305443,3500,MILDURA
738,CROYDON COMMUNITY SCHOOL - LEAPS AND BOUNDS CAMPUS,145.261399980306,-37.8372799971273,3153,BAYSWATER
739,LYNDALE SECONDARY COLLEGE - MONASH ADOLESCENT PSYCHIATRIC CENTRE,145.121429967425,-37.9208199959469,3168,CLAYTON
740,NEWCOMB SECONDARY COLLEGE - VICTORIAN SAILING WATER SAFETY SCHOOL,144.367419986333,-38.1457799964639,3220,GEELONG
741,PRINCES HILL SECONDARY COLLEGE,144.965029996612,-37.7834799983543,3054,PRINCES HILL
742,ST FRANCIS XAVIER COLLEGE,145.373099977953,-38.0519999972543,3807,BEACONSFIELD
743,CATHOLIC REGIONAL COLLEGE,144.739609984575,-37.728870002711,3023,CAROLINE SPRINGS
744,MACKILLOP CATHOLIC REGIONAL COLLEGE,144.665099984222,-37.9094999968154,3030,WERRIBEE
745,KOLBE CATHOLIC COLLEGE,144.909469974395,-37.6153200025176,3059,GREENVALE
746,BURWOOD HEIGHTS HIGH SCHOOL,145.162089986311,-37.8484599883076,3151,BURWOOD EAST
747,HOBSONS BAY SECONDARY COLLEGE,144.947369969077,-37.8442899965248,3206,ALBERT PARK
748,BUNDOORA SECONDARY COLLEGE,145.061979981086,-37.7075000005286,3083,BUNDOORA
749,GREENWOOD SECONDARY COLLEGE,145.061979981086,-37.7075000005286,3083,BUNDOORA
750,SWAN HILL TECHNICAL SCHOOL,143.562650037284,-35.3548499801597,3585,SWAN HILL
751,BILLANOOK COLLEGE,145.339869974239,-37.7873499972889,3138,MOOROOLBARK
752,DONALD HIGH SCHOOL,142.973959973126,-36.370780010607,3480,DONALD
753,WENDOUREE SECONDARY COLLEGE,143.833480015044,-37.5198499980052,3355,WENDOUREE
754,COHUNA SECONDARY COLLEGE,144.226429796874,-35.8134991945248,3568,COHUNA
755,COHUNA HIGH SCHOOL,144.226429796874,-35.8134991945248,3568,COHUNA
756,MERBEIN SECONDARY COLLEGE,142.070980013775,-34.1695700318465,3505,MERBEIN
757,CORIO COMMUNITY COLLEGE,144.352639967749,-38.0812399960948,3214,CORIO
758,COOMOORA SECONDARY COLLEGE,145.152089975394,-37.9815099954398,3172,SPRINGVALE SOUTH
759,CORIO BAY SENIOR COLLEGE,144.352639967749,-38.0812399960948,3214,CORIO
760,COOMOORA HIGH SCHOOL,145.152089975394,-37.9815099954398,3172,SPRINGVALE SOUTH
761,FRANKSTON TECHNICAL COLLEGE,145.127369994792,-38.1437399947325,3199,FRANKSTON
762,GALVIN PARK SECONDARY COLLEGE,144.653849967383,-37.8889299959334,3030,WERRIBEE
763,WERRIBEE TECHNICAL SCHOOL,144.653849967383,-37.8889299959334,3030,WERRIBEE
764,CRAIGIEBURN POST PRIMARY SCHOOL,144.935949982539,-37.6087499992821,3064,CRAIGIEBURN
765,GISBORNE HIGH TECHNICAL SCHOOL,144.584770017776,-37.4981099988851,3437,GISBORNE
766,GLADSTONE PARK SECONDARY COLLEGE,144.889999969738,-37.6897700006552,3043,GLADSTONE PARK
767,GLENFERN SECONDARY COLLEGE,145.302639978856,-37.8940099953519,3156,UPPER FERNTREE GULLY
768,FERNTREE GULLY TECHNICAL SCHOOL,145.302639978856,-37.8940099953519,3156,UPPER FERNTREE GULLY
769,GOLDEN SQUARE SECONDARY COLLEGE,144.258479983201,-36.7804000038093,3555,GOLDEN SQUARE
770,GOLDEN SQUARE HIGH SCHOOL,144.258479983201,-36.7804000038093,3555,GOLDEN SQUARE
771,LAKESIDE SECONDARY COLLEGE,144.980419985812,-37.7109600039565,3073,RESERVOIR
772,LAKESIDE HIGH SCHOOL,144.980419985812,-37.7109600039565,3073,RESERVOIR
773,MILDURA HIGH SCHOOL,142.145390018045,-34.1980000322296,3500,MILDURA
774,MILDURA SECONDARY COLLEGE,142.145390018045,-34.1980000322296,3500,MILDURA
775,GEELONG GRAMMAR SCHOOL,144.397369970025,-38.0703999949782,3214,CORIO
776,PORTLAND HIGH SCHOOL,141.600980044101,-38.3473500070922,3305,PORTLAND
777,PORTLAND SECONDARY COLLEGE,141.594820029203,-38.3588199978249,3305,PORTLAND
778,MILDURA TECHNICAL SCHOOL,142.157090030326,-34.1970700308853,3500,MILDURA
779,ALEXANDRA SECONDARY COLLEGE,145.701479978343,-37.1944899981061,3714,ALEXANDRA
780,ALTONA NORTH TECHNICAL SCHOOL,144.845419985106,-37.8415100015669,3025,ALTONA NORTH
781,ALTONA HIGH SCHOOL,144.8173699878,-37.8617899937903,3018,ALTONA
782,COLLINGWOOD SECONDARY COLLEGE,144.986259976151,-37.799849993908,3066,COLLINGWOOD
783,KANIVA SECONDARY COLLEGE,141.237650037666,-36.3853999746199,3419,KANIVA
784,KANIVA HIGH SCHOOL,141.237650037666,-36.3853999746199,3419,KANIVA
785,HAMILTON HIGH SCHOOL,142.014870052882,-37.7320700092942,3300,HAMILTON
786,BALLARAT NORTH TECHNICAL SCHOOL,143.892649983338,-37.5345699958725,3350,NERRINA
787,LONGERENONG AGRICULTURAL COLLEGE,142.302650011966,-36.6651299790489,3401,LONGERENONG
788,KANGAROO FLAT SECONDARY COLLEGE,144.234029997262,-36.7906800022763,3555,KANGAROO FLAT
789,KEILOR DOWNS POST PRIMARY SCHOOL,144.811189987605,-37.7155200044653,3038,KEILOR DOWNS
790,KEILOR HEIGHTS SECONDARY COLLEGE,144.872089983321,-37.7409600007552,3033,KEILOR EAST
791,KEILOR HEIGHTS HIGH SCHOOL,144.872089983321,-37.7409600007552,3033,KEILOR EAST
792,HAMILTON TECHNICAL SCHOOL,142.012650049123,-37.7337400081796,3300,HAMILTON
793,KINGSBURY TECHNICAL SCHOOL,145.028759989121,-37.7140100002875,3083,KINGSBURY
794,RESERVOIR DISTRICT SECONDARY COLLEGE KINGSBURY CAMPUS,145.028759989121,-37.7140100002875,3083,KINGSBURY
795,KNOX TECHNICAL SCHOOL,145.258479978685,-37.8565099970435,3153,BAYSWATER
796,KOO-WEE-RUP SECONDARY COLLEGE,145.496809978064,-38.1959599978383,3981,KOO WEE RUP
797,KOONUNG HIGH SCHOOL,145.117559991119,-37.8021899919446,3129,MONT ALBERT NORTH
798,LALOR NORTH SECONDARY COLLEGE,145.03412001498,-37.660770000324,3076,EPPING
799,LALOR NORTH HIGH SCHOOL,145.03412001498,-37.660770000324,3076,EPPING
800,LANGWARRIN SECONDARY COLLEGE,145.190179998035,-38.1592899971724,3910,LANGWARRIN
801,LANGWARRIN POST PRIMARY SCHOOL,145.190179998035,-38.1592899971724,3910,LANGWARRIN
802,ELISABETH MURDOCH COLLEGE,145.190179998035,-38.1592899971724,3910,LANGWARRIN
803,LALOR SECONDARY COLLEGE,145.030620001293,-37.6726600001578,3075,LALOR
804,LALOR HIGH SCHOOL,145.030620001293,-37.6726600001578,3075,LALOR
805,KANGAROO FLAT TECHNICAL SCHOOL,144.234029997262,-36.7906800022763,3555,KANGAROO FLAT
806,MONIVAE COLLEGE,142.049450058915,-37.7420400123,3300,HAMILTON
807,KEON PARK SECONDARY COLLEGE,145.010139987909,-37.6995700029207,3073,RESERVOIR
808,RED CLIFFS SECONDARY COLLEGE,142.195450004071,-34.2988000327304,3496,RED CLIFFS
809,RED CLIFFS HIGH SCHOOL,142.195450004071,-34.2988000327304,3496,RED CLIFFS
810,ST ARNAUD HIGH SCHOOL,143.250150028862,-36.6092900188703,3478,SAINT ARNAUD
811,STAWELL SECONDARY COLLEGE,142.789789995457,-37.0619499709442,3380,STAWELL
812,STAWELL HIGH SCHOOL,142.789789995457,-37.0619499709442,3380,STAWELL
