,pri_school,longitude,latitude,postcode,suburb
550,NHILL LUTHERAN SCHOOL,141.662160007392,-36.3277299810802,3418,NHILL
551,OUR LADY OF GOOD COUNSEL SCHOOL,145.062789997647,-37.8110799892278,3103,DEEPDENE
552,PLEASANT STREET PRIMARY SCHOOL ( BALLARAT),143.8387299864,-37.55704000057,3350,LAKE WENDOUREE
553,ST ALOYSIUS SCHOOL,145.025539977308,-37.8734399920558,3161,CAULFIELD NORTH
554,ST JUDE THE APOSTLE SCHOOL,145.225959982649,-37.8898399949902,3179,SCORESBY
555,ST THOMAS AQUINAS SCHOOL,144.35881998672,-38.0901699955566,3214,NORLANE
556,HILLSMEADE PRIMARY SCHOOL,145.307459985009,-38.0647199987443,3805,NARRE WARREN SOUTH
557,BLACK HILL PRIMARY SCHOOL,143.869789973751,-37.5498399945065,3350,BLACK HILL
558,BIRREGURRA PRIMARY SCHOOL,143.786509952071,-38.3404600170476,3242,BIRREGURRA
559,MURCHISON PRIMARY SCHOOL,145.21429000083,-36.6171800051653,3610,MURCHISON
560,MURRAY ROAD PRIMARY SCHOOL,146.292089985558,-38.1890099991917,3825,NEWBOROUGH
561,WON WRON PRIMARY SCHOOL,146.717090021532,-38.4754000056908,3971,WON WRON
562,WONTHAGGI NORTH PRIMARY SCHOOL,145.600229992736,-38.5988199986264,3995,WONTHAGGI
563,WONTHAGGI PRIMARY SCHOOL,145.588639979749,-38.6079499998596,3995,WONTHAGGI
564,WONWRON PRIMARY SCHOOL,146.719310020446,-38.4729000058431,3971,WON WRON
565,KENT ROAD PRIMARY SCHOOL,142.021530058132,-37.7273500126398,3300,HAMILTON
566,HALLS GAP PRIMARY SCHOOL,142.517430001135,-37.1374799683982,3381,HALLS GAP
567,BEAUMARIS NORTH PRIMARY SCHOOL,145.036609988353,-37.9742399914389,3193,BEAUMARIS
568,BELLBRIDGE PRIMARY SCHOOL,144.710779975367,-37.871079994649,3029,HOPPERS CROSSING
569,BELVEDERE PARK PRIMARY SCHOOL,145.146929972112,-38.1098399948749,3198,SEAFORD
570,ALLANSFORD PRIMARY SCHOOL,142.590419937589,-38.3859599882741,3277,ALLANSFORD
571,ALLANSFORD & DISTRICT PRIMARY SCHOOL,142.590419937589,-38.3859599882741,3277,ALLANSFORD
572,AMPHITHEATRE PRIMARY SCHOOL,143.399240007768,-37.1841299916528,3468,AMPHITHEATRE
573,ARARAT PRIMARY SCHOOL,142.937310004299,-37.2859399661366,3377,ARARAT
574,ARDONACHIE PRIMARY SCHOOL,141.958760030362,-38.0617900051419,3286,MACARTHUR
575,AREEGRA PRIMARY SCHOOL,142.632090079273,-36.2670699866504,3480,AREEGRA
576,Alvie Consolidated School,143.503329978475,-38.2418899896225,3249,ALVIE
577,Alvie Primary School,143.503329978475,-38.2418899896225,3249,ALVIE
578,ARNOLD PRIMARY SCHOOL,143.866529951625,-36.6926300069328,3551,ARNOLD
579,ALFREDTON PRIMARY SCHOOL,143.802099999963,-37.5547999952249,3350,ALFREDTON
580,STONY CREEK PRIMARY SCHOOL,146.042639990475,-38.5865099983558,3957,STONY CREEK
581,WOODS POINT PRIMARY SCHOOL,146.249589992497,-37.5701300021976,3723,WOODS POINT
582,WOODSIDE PRIMARY SCHOOL,146.876740006141,-38.5263299971143,3874,WOODSIDE
583,WOODVILLE PRIMARY SCHOOL,144.691229979416,-37.8837699974121,3029,HOPPERS CROSSING
584,WOORANNA PARK PRIMARY SCHOOL,145.216359973532,-37.9602499977599,3175,DANDENONG NORTH
585,WOODGLEN PRIMARY SCHOOL,147.381530062432,-37.7756800004019,3875,WOODGLEN
586,HUGHESDALE PRIMARY SCHOOL,145.077639968696,-37.9058399948364,3166,HUGHESDALE
587,HUNTLY PRIMARY SCHOOL,144.334400010428,-36.6625399980397,3551,HUNTLY
588,BENA PRIMARY SCHOOL,145.769869983111,-38.4128999975896,3946,BENA
589,BENDIGO PRIMARY SCHOOL,144.265240004431,-36.7570200011036,3550,IRONBARK
590,ST KIERANS SCHOOL,146.253559971431,-38.1793699992919,3825,MOE
591,ST MARGARET MARYS SCHOOL,144.968249996749,-37.7586300014203,3056,BRUNSWICK
592,ST MARYS SCHOOL,145.052919976591,-37.8730199939332,3145,MALVERN EAST
593,ST MARYS SCHOOL,143.988699960206,-37.500399998821,3352,CLARKES HILL
594,ST MARYS SCHOOL,144.725829989607,-36.1342600006932,3564,ECHUCA
595,ST PATRICKS SCHOOL,147.077680014939,-37.9672599880309,3862,STRATFORD
596,ST PETERS LUTHERAN SCHOOL,142.037580030654,-36.4570599776991,3414,DIMBOOLA
597,ST THERESES SCHOOL,144.298249989902,-36.7669000003285,3550,KENNINGTON
598,DON BOSCO SCHOOL,145.315009965013,-38.0259699990319,3805,NARRE WARREN
599,OUR LADY OF MOUNT CARMEL SCHOOL,144.736309977019,-37.5800399975635,3429,SUNBURY
600,SACRED HEART SCHOOL,144.978519982255,-37.8020499953921,3065,FITZROY
601,ST AUGUSTINES SCHOOL,143.736799981148,-37.0518299999516,3465,MARYBOROUGH
602,ST FRANCIS XAVIERS SCHOOL,145.126559996994,-37.71600999903,3094,MONTMORENCY
603,AVOCA PRIMARY SCHOOL,143.475649984371,-37.0844999887721,3467,AVOCA
604,ASCOT PRIMARY SCHOOL,143.802919990413,-37.3990099993109,3364,ASCOT
605,BALLARAT EAST PRIMARY SCHOOL,143.872649979829,-37.5640099977768,3350,BALLARAT EAST
606,BALLARAT NORTH PRIMARY SCHOOL,143.862810004939,-37.5400999970007,3350,BALLARAT NORTH
607,BALWARRA PRIMARY SCHOOL,141.614310108508,-38.2812400174248,3305,BOLWARRA
608,WANGARATTA PRIMARY SCHOOL,146.329419980291,-36.355279987325,3677,WANGARATTA
609,WANGARATTA SOUTH PRIMARY SCHOOL,146.317369982392,-36.3717899865422,3677,WANGARATTA
610,WANTIRNA PRIMARY SCHOOL,145.216509988001,-37.8562599981261,3152,WANTIRNA
611,WANTIRNA SOUTH PRIMARY SCHOOL,145.237339982585,-37.8725299966732,3152,WANTIRNA SOUTH
612,WARRAGUL NORTH PRIMARY SCHOOL,145.93985000892,-38.1481099961994,3820,WARRAGUL
613,WARRAGUL PRIMARY SCHOOL,145.928139973013,-38.1563399974032,3820,WARRAGUL
614,WARRANDYTE PRIMARY SCHOOL,145.213979992955,-37.742679999245,3113,WARRANDYTE
615,WARRANWOOD PRIMARY SCHOOL,145.246979979757,-37.7743499987336,3134,WARRANWOOD
616,Springside P-9 College,144.738589986657,-37.7110400015316,3023,CAROLINE SPRINGS
617,Springside Primary School,144.738589986657,-37.7110400015316,3023,CAROLINE SPRINGS
618,ST JOSEPHS SCHOOL,146.607069969997,-36.1459799896302,3683,CHILTERN
619,ST MARYS SCHOOL,143.585399983511,-38.3347299893178,3250,COLAC
620,ST PATRICKS SCHOOL,143.138999997994,-38.2350299911327,3260,CAMPERDOWN
621,ST THERESE SCHOOL,144.311849996621,-38.3211200718774,3228,TORQUAY
622,STELLA MARIS CATHOLIC PRIMARY SCHOOL,144.728679976137,-37.8907599969762,3030,POINT COOK
623,SWIFTS CREEK SCHOOL (INTERIM NAME) - PRIMARY CAMPUS,147.723209958953,-37.2666499771226,3896,SWIFTS CREEK
624,ST MICHAELS SCHOOL,146.534700000459,-38.1951599992519,3844,TRARALGON
625,SPRING PARKS PRIMARY SCHOOL - WEST CAMPUS,145.139509982088,-37.9588399964303,3171,SPRINGVALE
626,BANYENA PRIMARY SCHOOL,142.820700041203,-36.5726299997197,3388,BANYENA
627,BARINGHUP PRIMARY SCHOOL,143.967829956405,-36.97699000421,3463,BARINGHUP
628,BARKLY PRIMARY SCHOOL,143.200150036396,-36.946789996933,3384,BARKLY
629,BARONGAROOK PRIMARY SCHOOL,143.608200012789,-38.4201299912653,3249,BARONGAROOK
630,CALEDONIAN PRIMARY SCHOOL,143.894239996961,-37.5554099991033,3350,BROWN HILL
631,BROWN HILL PRIMARY SCHOOL,143.894239996961,-37.5554099991033,3350,BROWN HILL
632,CALLAWADDA PRIMARY SCHOOL,142.785700009631,-36.8178999741795,3387,CALLAWADDA
633,MOUNT DANDENONG PRIMARY SCHOOL,145.362169994555,-37.8307399981183,3767,MOUNT DANDENONG
634,MOUNT DUNEED REGIONAL PRIMARY SCHOOL,144.319679997681,-38.2412400339049,3217,MOUNT DUNEED
635,MOUNT DUNEED PRIMARY SCHOOL,144.319679997681,-38.2412400339049,3217,MOUNT DUNEED
636,MOUNT EGERTON PRIMARY SCHOOL,144.102169982533,-37.628519997942,3352,MOUNT EGERTON
637,MOUNT ELIZA PRIMARY SCHOOL,145.092189972262,-38.1953899976238,3930,MOUNT ELIZA
638,MOUNT EVELYN PRIMARY SCHOOL,145.388819965369,-37.7909299977373,3796,MOUNT EVELYN
639,MOUNT MACEDON PRIMARY SCHOOL,144.584129971691,-37.4047899982601,3441,MOUNT MACEDON
640,MOSSFIEL PRIMARY SCHOOL,144.696119978729,-37.8728799946737,3029,HOPPERS CROSSING
641,MOUNT MORIAC PRIMARY SCHOOL,144.188480013889,-38.2129000161439,3240,MOUNT MORIAC
642,MOSSGIEL PARK PRIMARY SCHOOL,145.267719982675,-37.9683899963796,3802,ENDEAVOUR HILLS
643,MOUNT BEST PRIMARY SCHOOL,146.307919945063,-38.597629996877,3960,MOUNT BEST
644,LANDSBOROUGH PRIMARY SCHOOL,143.135910034718,-37.0058599963885,3384,LANDSBOROUGH
645,MACARTHUR STREET PRIMARY SCHOOL,143.857489994747,-37.5511499997296,3350,SOLDIERS HILL
646,MAFEKING PRIMARY SCHOOL,142.609310049253,-37.4003999763904,3379,MAFEKING
647,NARINGUL PRIMARY SCHOOL,142.691529959561,-38.3951299892755,3277,NARINGAL
648,NATIMUK PRIMARY SCHOOL,141.950500018826,-36.7412399875948,3409,NATIMUK
649,FAWKNER NORTH PRIMARY SCHOOL,144.971809985963,-37.7048500023295,3060,FAWKNER
650,FERNTREE GULLY PRIMARY SCHOOL,145.28402998223,-37.8837399979911,3156,FERNTREE GULLY
651,IONA PRIMARY SCHOOL,145.684589986432,-38.1231799997088,3814,GARFIELD
652,CAMPBELLTOWN PRIMARY SCHOOL,143.944310006836,-37.202629996115,3364,CAMPBELLTOWN
653,CAMPERDOWN PRIMARY SCHOOL,143.142369984412,-38.2348499913367,3260,CAMPERDOWN
654,CAPE CLEAR PRIMARY SCHOOL,143.608209988968,-37.7919599894385,3351,CAPE CLEAR
655,CARDIGAN PRIMARY SCHOOL,143.741259997678,-37.5228999951677,3352,WINDERMERE
656,CARISBROOK PRIMARY SCHOOL,143.812659996243,-37.0520599997649,3464,CARISBROOK
657,BOLWARRA PRIMARY SCHOOL,141.613800108567,-38.2816100173992,3305,BOLWARRA
658,BOOKAAR PRIMARY SCHOOL,143.106810032276,-38.1473499976446,3260,BOOKAAR
659,BOOLITE PRIMARY SCHOOL,142.662650065526,-36.3415099829161,3392,BOOLITE
660,BOORT PRIMARY SCHOOL,143.723760015441,-36.1145699951889,3537,BOORT
661,REDESDALE-MIA MIA PRIMARY SCHOOL,144.530979993906,-37.0192899952974,3444,REDESDALE
662,RED HILL CONSOLIDATED SCHOOL,144.995269990441,-38.366679997015,3937,RED HILL
663,Stradbroke West Primary School,146.961260002863,-38.2703999939851,3851,STRADBROKE
664,STRATFORD PRIMARY SCHOOL,147.08539000561,-37.9672499876244,3862,STRATFORD
665,STRATH CREEK PRIMARY SCHOOL,145.223479990701,-37.2359600027315,3658,STRATH CREEK
666,MCMILLAN PRIMARY SCHOOL,146.416139974421,-38.310120001126,3842,CHURCHILL
667,OUTTRIM PRIMARY SCHOOL,145.762639959411,-38.4990099985992,3951,OUTTRIM
668,OVERLAND PRIMARY SCHOOL,144.853759987228,-37.7434600005254,3033,KEILOR EAST
669,OXLEY PRIMARY SCHOOL,146.360639977433,-36.4415599881921,3678,OXLEY
670,MELROSE PRIMARY SCHOOL,146.861419952757,-36.1305100207353,3690,WEST WODONGA
671,MELTON PRIMARY SCHOOL,144.587019995153,-37.6804599951694,3337,MELTON
672,MELTON SOUTH PRIMARY SCHOOL,144.574259969375,-37.7087200004926,3338,MELTON SOUTH
673,MENTONE PARK PRIMARY SCHOOL,145.082799994655,-37.9800099926503,3194,MENTONE
674,MENZIES CREEK PRIMARY SCHOOL,145.394269970326,-37.9173499959045,3159,MENZIES CREEK
675,MEREDITH PRIMARY SCHOOL,144.077809987778,-37.8427099966867,3333,MEREDITH
676,MERLYNSTON PRIMARY SCHOOL,144.958759994904,-37.7262400035705,3058,COBURG NORTH
677,MERNDA PRIMARY SCHOOL,145.092239965156,-37.5946000009075,3754,MERNDA
678,PASCOE VALE NORTH PRIMARY SCHOOL,144.948480006222,-37.7212600018373,3044,PASCOE VALE
679,PASCOE VALE PRIMARY SCHOOL,144.937259981085,-37.7312300021333,3044,PASCOE VALE
680,PASCOE VALE SOUTH PRIMARY SCHOOL,144.935619994801,-37.7457200031114,3044,PASCOE VALE SOUTH
681,PATHO PRIMARY SCHOOL,144.427090400112,-36.007350127952,3564,PATHO
682,PATTERSON LAKES PRIMARY SCHOOL,145.144789976913,-38.0698399924805,3197,PATTERSON LAKES
683,GOWRIE PARK PRIMARY SCHOOL,144.943480013283,-37.7009600023698,3046,GLENROY
684,GRAHAM STREET PRIMARY SCHOOL,144.933810006408,-37.8353199965436,3207,PORT MELBOURNE
685,KEW EAST PRIMARY SCHOOL,145.049150009608,-37.7964699931997,3102,KEW EAST
686,KEW PRIMARY SCHOOL,145.03338999756,-37.8036399911619,3101,KEW
687,KEYSBOROUGH PARK PRIMARY SCHOOL,145.15763998178,-37.9873499958596,3173,KEYSBOROUGH
688,KIALLA PRIMARY SCHOOL,145.431150006645,-36.4526999912405,3631,KIALLA
689,KIALLA CENTRAL PRIMARY SCHOOL,145.431150006645,-36.4526999912405,3631,KIALLA
690,KIALLA WEST PRIMARY SCHOOL,145.389460005075,-36.4660099894026,3631,KIALLA WEST
691,KIEWA VALLEY PRIMARY SCHOOL,147.038770193125,-36.2510500510703,3691,TANGAMBALANGA
692,KIEWA VALLEY CONSOLIDATED SCHOOL,147.038770193125,-36.2510500510703,3691,TANGAMBALANGA
693,KILLOURA PRIMARY SCHOOL,145.147369998959,-37.8476299842847,3151,BURWOOD EAST
694,Kilmany South Primary School,146.91987001794,-38.1329499929679,3851,KILMANY
695,KILMORE PRIMARY SCHOOL,144.947519993164,-37.2957700021138,3764,KILMORE
696,KORUMBURRA PRIMARY SCHOOL,145.825639969673,-38.4351299987295,3950,KORUMBURRA
697,KORWEINGUBOORA PRIMARY SCHOOL,144.130150012744,-37.4423499956013,3461,KORWEINGUBOORA
698,KUNYUNG PRIMARY SCHOOL,145.076229975924,-38.1876799954774,3930,MOUNT ELIZA
699,LABERTOUCHE PRIMARY SCHOOL,145.804939976213,-38.0376700017915,3816,LABERTOUCHE
700,LABURNUM PRIMARY SCHOOL,145.139210004631,-37.8270999875936,3130,BLACKBURN
701,EPPING PRIMARY SCHOOL - GREENBROOK CAMPUS,145.042060000751,-37.6502600018037,3076,EPPING
702,LE PAGE PRIMARY SCHOOL,145.068139990493,-37.9592599915132,3192,CHELTENHAM
703,CHELTENHAM HEIGHTS PRIMARY SCHOOL,145.068139990493,-37.9592599915132,3192,CHELTENHAM
704,LEICHARDT PRIMARY SCHOOL,144.079869995868,-36.6931800076398,3516,LEICHARDT
705,LEITCHVILLE PRIMARY SCHOOL,144.302090110148,-35.9095498560939,3567,LEITCHVILLE
706,LEMNOS PRIMARY SCHOOL,145.462460019683,-36.3580499988312,3631,LEMNOS
707,LENEVA PRIMARY SCHOOL,146.892369995675,-36.1917899624907,3691,LENEVA
708,LEONGATHA SOUTH PRIMARY SCHOOL,145.87986999706,-38.5295700022134,3953,LEONGATHA SOUTH
709,BUNBARTHA PRIMARY SCHOOL,145.343199975138,-36.2181800115698,3634,BUNBARTHA
710,BADGER CREEK PRIMARY SCHOOL,145.597639992593,-37.7167899900007,3139,DON VALLEY
711,BAILIESTON PRIMARY SCHOOL,145.115980015888,-36.7417899991649,3608,BAILIESTON
712,BAIRNSDALE WEST PRIMARY SCHOOL,147.608099994604,-37.8245399895299,3875,BAIRNSDALE
713,BURWOOD EAST PRIMARY SCHOOL,145.151809998857,-37.8597299876667,3151,BURWOOD EAST
714,BURWOOD HEIGHTS PRIMARY SCHOOL,145.163279986293,-37.8467499883793,3131,FOREST HILL
715,SKYE PRIMARY SCHOOL,145.201249961712,-38.1177099956838,3977,SKYE
716,SOMERVILLE PRIMARY SCHOOL,145.179139967778,-38.2240199948056,3912,SOMERVILLE
717,SOMERVILLE RISE PRIMARY SCHOOL,145.167749971115,-38.230029997054,3912,SOMERVILLE
718,SOLWAY PRIMARY SCHOOL,145.072829978104,-37.8732399943036,3147,ASHBURTON
719,SORRENTO PRIMARY SCHOOL,144.740689963335,-38.341479995554,3943,SORRENTO
720,SOUTH SHEPPARTON PRIMARY SCHOOL,145.40791997823,-36.3990099862652,3630,SHEPPARTON
721,SOUTH YARRA PRIMARY SCHOOL,144.985619964748,-37.8413499971215,3141,SOUTH YARRA
722,SOUTHVALE PRIMARY SCHOOL,145.162499978389,-37.9741499951142,3174,NOBLE PARK
723,SPECIMEN HILL PRIMARY SCHOOL,144.248339988772,-36.7618700000289,3555,GOLDEN SQUARE
724,WAHGUNYAH PRIMARY SCHOOL,146.39792995367,-36.0136499981711,3687,WAHGUNYAH
725,WALDAU PRIMARY SCHOOL,145.147919973093,-37.7817899929141,3109,DONCASTER EAST
726,SPRING VALLEY PRIMARY SCHOOL,145.139869976486,-37.9637399974855,3172,SPRINGVALE SOUTH
727,SPRING PARKS PRIMARY SCHOOL VALLEY CAMPUS,145.139869976486,-37.9637399974855,3172,SPRINGVALE SOUTH
728,SPRINGHURST PRIMARY SCHOOL,146.468099973061,-36.1846700024997,3682,SPRINGHURST
729,SPRINGVALE PRIMARY SCHOOL,145.154029985303,-37.9520699973919,3171,SPRINGVALE
730,SPRINGVALE SOUTH PRIMARY SCHOOL,145.150279968951,-37.9702599962451,3172,SPRINGVALE SOUTH
731,SPRINGVALE WEST PRIMARY SCHOOL,145.139029982153,-37.9590099963982,3171,SPRINGVALE
732,SPRING PARKS PRIMARY SCHOOL WEST CAMPUS,145.139029982153,-37.9590099963982,3171,SPRINGVALE
733,WATSONIA HEIGHTS PRIMARY SCHOOL,145.100729970537,-37.7153000022443,3088,GREENSBOROUGH
734,WATSONIA PRIMARY SCHOOL,145.086919972826,-37.7070300002416,3087,WATSONIA
735,WATTLE GLEN PRIMARY SCHOOL,145.182039978579,-37.6688399995716,3096,WATTLE GLEN
736,WATTLE HEIGHTS SCHOOL,145.10209000725,-37.8437399851357,3125,BURWOOD
737,STEWARTON PRIMARY SCHOOL,145.783759939679,-36.4073500019589,3725,STEWARTON
738,BACCHUS MARSH PRIMARY SCHOOL,144.443119985856,-37.673029994553,3340,BACCHUS MARSH
739,UPWEY SOUTH PRIMARY SCHOOL,145.326839980522,-37.9131399971595,3158,UPWEY
740,VALKSTONE PRIMARY SCHOOL,145.0571699913,-37.9146099884828,3165,BENTLEIGH EAST
741,VICTORIA PARK PRIMARY SCHOOL,144.99652997364,-37.7973499945957,3067,ABBOTSFORD
742,VIEWBANK PRIMARY SCHOOL,145.089989979273,-37.7347299996253,3084,VIEWBANK
743,HAZELWOOD NORTH PRIMARY SCHOOL,146.447679963913,-38.2681899992122,3840,HAZELWOOD NORTH
744,HAZELWOOD PRIMARY SCHOOL,146.443479995874,-38.2412399987329,3840,MORWELL
745,HAWTHORN WEST PRIMARY SCHOOL,145.01838000437,-37.8201099952342,3122,HAWTHORN
746,HEALESVILLE PRIMARY SCHOOL,145.516039950333,-37.657129996853,3777,HEALESVILLE
747,BALLAM PARK PRIMARY SCHOOL,145.158279967952,-38.1474599948913,3199,FRANKSTON
748,BANDIANA PRIMARY SCHOOL,146.927140007568,-36.1529699418875,3691,BANDIANA
749,BANGHOLME PRIMARY SCHOOL,145.185979984393,-38.0365099981248,3175,BANGHOLME
750,HIAWATHA PRIMARY SCHOOL,146.465420056336,-38.5215100010948,3971,HIAWATHA
751,BANYULE PRIMARY SCHOOL,145.077939975388,-37.7436099978509,3084,ROSANNA
752,BARMAH PRIMARY SCHOOL,144.961809965415,-36.015680038923,3639,BARMAH
753,BARRABOOL PRIMARY SCHOOL,144.136259960316,-38.1440100043248,3221,GNARWARRE
754,WATTLE VIEW PRIMARY SCHOOL,145.278019990152,-37.8758299985234,3156,FERNTREE GULLY
755,BATESFORD PRIMARY SCHOOL,144.289030001808,-38.0920699949803,3213,BATESFORD
756,ROLLINS PRIMARY SCHOOL (BATESFORD CAMPUS),144.289030001808,-38.0920699949803,3213,BATESFORD
757,BARWON HEADS PRIMARY SCHOOL,144.487039973793,-38.2811900192067,3227,BARWON HEADS
758,BAXTER PRIMARY SCHOOL,145.181549968064,-38.1996599978228,3911,BAXTER
759,BAYLES REGIONAL PRIMARY SCHOOL,145.566029991176,-38.1760399996088,3981,BAYLES
760,BAYSWATER SOUTH PRIMARY SCHOOL,145.261349978365,-37.8548999972332,3153,BAYSWATER
761,BAYVIEW PRIMARY SCHOOL,145.11347997667,-37.8856799931809,3149,MOUNT WAVERLEY
762,BASS VALLEY PRIMARY SCHOOL,145.436529986865,-38.4148499999369,3984,CORINELLA
763,BELGRAVE SOUTH PRIMARY SCHOOL,145.357919960103,-37.9311999964441,3160,BELGRAVE SOUTH
764,BELL PARK PRIMARY SCHOOL,144.335700008244,-38.1048499961245,3215,BELL PARK
765,BELL PRIMARY SCHOOL,144.990610001062,-37.7477000028821,3072,PRESTON
766,BELLAIRE PRIMARY SCHOOL,144.319769983174,-38.1795900045343,3216,HIGHTON
767,BELLERINE PRIMARY SCHOOL,144.61570000098,-38.1326299938766,3223,BELLARINE
768,BELMONT PRIMARY SCHOOL,144.342099973172,-38.1706699979485,3216,BELMONT
769,CHELSEA HEIGHTS PRIMARY SCHOOL,145.138059980834,-38.0450199948624,3196,CHELSEA HEIGHTS
770,BENTLEIGH EAST PRIMARY SCHOOL,145.052369999654,-37.9190099881801,3165,BENTLEIGH EAST
771,BENTLEIGH WEST PRIMARY SCHOOL,145.026769990943,-37.9205799894319,3204,BENTLEIGH
772,CHIRNSIDE PARK PRIMARY SCHOOL,145.311339983306,-37.7500699990647,3116,CHIRNSIDE PARK
773,CHRISTMAS HILLS PRIMARY SCHOOL,145.304199990206,-37.6535199989649,3775,CHRISTMAS HILLS
774,CHUM CREEK PRIMARY SCHOOL,145.489249948646,-37.6059599906432,3777,CHUM CREEK
775,CHURCHILL NORTH PRIMARY SCHOOL,146.416949970935,-38.3046400011522,3842,CHURCHILL
776,CHURCHILL PRIMARY SCHOOL,146.415429975428,-38.3111000010793,3842,CHURCHILL
777,Clarkefield Primary School,144.757089947097,-37.4892899973994,3430,CLARKEFIELD
778,CLAYTON NORTH PRIMARY SCHOOL,145.122669950185,-37.9119399949775,3168,CLAYTON
779,CLAYTON SOUTH PRIMARY SCHOOL,145.116439978132,-37.9404799937242,3169,CLAYTON SOUTH
780,CLOUDEA PRIMARY SCHOOL,145.99763997513,-38.2312399959013,3822,CLOVERLEA
781,CLOVERLEA PRIMARY SCHOOL,146.000419972254,-38.2345699961237,3822,CLOVERLEA
782,CLUB TERRACE PRIMARY SCHOOL,148.935700044612,-37.5406799923006,3889,CLUB TERRACE
783,CLIFTON HILL PRIMARY SCHOOL,144.989239969453,-37.7923099960652,3068,CLIFTON HILL
784,CLYDE NORTH PRIMARY SCHOOL,145.329029997096,-38.1106799965338,3978,CLYDE NORTH
785,COALVILLE PRIMARY SCHOOL,146.261809985899,-38.2392899982702,3825,COALVILLE
786,COBAINS PRIMARY SCHOOL,147.132280018261,-38.0747899869115,3851,COBAINS
787,COBRAM PRIMARY SCHOOL,145.651099945574,-35.925110042363,3644,COBRAM
788,COBURG EAST PRIMARY SCHOOL,144.978479991292,-37.7465100030446,3058,COBURG
789,COBURG NORTH PRIMARY SCHOOL,144.951849992024,-37.7361700041601,3058,COBURG
790,COBURN PRIMARY SCHOOL,144.572659980117,-37.6948699982998,3338,MELTON SOUTH
791,COHUNA CONSOLIDATED SCHOOL,144.21342990768,-35.8063190946306,3568,COHUNA
792,PAKENHAM CONSOLIDATED SCHOOL,145.464659990448,-38.0653699977667,3810,PAKENHAM
793,PANTON HILL PRIMARY SCHOOL,145.239559973652,-37.6416099993913,3759,PANTON HILL
794,PARK ORCHARDS PRIMARY SCHOOL,145.215919976564,-37.7795199956086,3114,PARK ORCHARDS
795,PARKHILL PRIMARY SCHOOL,145.106869997321,-37.8628799855838,3147,ASHWOOD
796,ASHWOOD PRIMARY SCHOOL,145.106869997321,-37.8628799855838,3147,ASHWOOD
797,PARKLANDS PRIMARY SCHOOL,144.882920005662,-37.7204000033639,3042,AIRPORT WEST
798,SEYMOUR STREET PRIMARY SCHOOL,146.534029998513,-38.195679999205,3844,TRARALGON
799,SHADY CREEK PRIMARY SCHOOL,146.057089977696,-38.120129997537,3821,SHADY CREEK
800,CHELTENHAM EAST PRIMARY SCHOOL,145.068349982797,-37.9652599905647,3192,CHELTENHAM
801,BADDAGINNIE PRIMARY SCHOOL,145.863199957236,-36.5923499998553,3670,BADDAGINNIE
802,SHEPPARTON EAST PRIMARY SCHOOL,145.479249983423,-36.3999299962827,3631,SHEPPARTON EAST
803,GOWRIE STREET PRIMARY SCHOOL,145.396529986553,-36.3667899922594,3630,SHEPPARTON
804,BOURCHIER STREET PRIMARY SCHOOL,145.413479980684,-36.367629991453,3630,SHEPPARTON
805,SAINT GEORGES ROAD PRIMARY SCHOOL,145.405979961561,-36.3895699840684,3630,SHEPPARTON
806,ST GEORGES ROAD PRIMARY SCHOOL,145.405979961561,-36.3895699840684,3630,SHEPPARTON
807,WILMOT ROAD PRIMARY SCHOOL,145.4054199747,-36.3984599850864,3630,SHEPPARTON
808,SHERBOURNE PRIMARY SCHOOL,145.130080000163,-37.7089099982288,3088,BRIAR HILL
809,SILVAN PRIMARY SCHOOL,145.421319961988,-37.8245999962268,3795,SILVAN
810,KING VALLEY PRIMARY SCHOOL,146.419029947444,-36.6995699761851,3678,KING VALLEY
811,KINGLAKE PRIMARY SCHOOL,145.35663999675,-37.521570000803,3763,KINGLAKE
812,BRUNSWICK EAST PRIMARY SCHOOL,144.979999984993,-37.7652700032651,3057,BRUNSWICK EAST
813,BRUNSWICK NORTH PRIMARY SCHOOL,144.950430004706,-37.75984000421,3056,BRUNSWICK
814,BRUNSWICK NORTH WEST PRIMARY SCHOOL,144.943590013231,-37.7567100047236,3055,BRUNSWICK WEST
815,BRUNSWICK PRIMARY SCHOOL,144.963199978438,-37.7695700031429,3056,BRUNSWICK
816,BRUNSWICK SOUTH WEST PRIMARY SCHOOL,144.94351997074,-37.7705800008049,3055,BRUNSWICK WEST
817,BRUNSWICK WEST PRIMARY SCHOOL,144.946259982796,-37.7656800019615,3055,BRUNSWICK WEST
818,BUCHAN PRIMARY SCHOOL,148.180820009984,-37.497739988427,3885,BUCHAN
819,KILSYTH EAST PRIMARY SCHOOL,145.327919975243,-37.8059600005697,3137,KILSYTH
820,KILSYTH PRIMARY SCHOOL,145.314939976919,-37.8021099996395,3137,KILSYTH
821,BUFFALO PRIMARY SCHOOL,146.03125999465,-38.6528999959335,3958,BUFFALO
822,BULLARTO PRIMARY SCHOOL,144.218220009392,-37.405379999104,3461,BULLARTO
823,BRENTWOOD PARK PRIMARY SCHOOL,145.347769974271,-38.0529799984876,3806,BERWICK
824,BULLEEN PRIMARY SCHOOL,145.09376000727,-37.7653999970756,3105,BULLEEN
825,BULLENGAROOK PRIMARY SCHOOL,144.516259974715,-37.4870699992506,3437,BULLENGAROOK
826,BUNYIP PRIMARY SCHOOL,145.712509974333,-38.098839996551,3815,BUNYIP
