,Unnamed: 0,bedrooms,bathrooms,carspaces,building_area,street_address,latitude,longitude,price,distance_to_city,weekly_rent
988,988,4.0,2.0,4.0,,11 Hyslop Street Hoppers Crossing VIC 3029,-37.8761651,144.68979430000005,$440 per week,25.194000000000003,440.0
989,989,4.0,2.0,2.0,,22 Yosemite Street Truganina VIC 3029,-37.7588073,144.6944044,$450,24.8556,450.0
990,990,4.0,2.0,2.0,,92 Powell Drive Hoppers Crossing VIC 3029,-37.88536989999999,144.69159530000005,$405,25.3235,405.0
991,991,5.0,2.0,2.0,,18-20 Landor Close Hoppers Crossing VIC 3029,-37.86334650000001,144.7014829,$650 per week,23.8628,650.0
992,992,4.0,2.0,2.0,,24 Botanical Drive Truganina VIC 3029,-37.8406157,144.7245355,$440,21.4487,440.0
993,993,4.0,2.0,2.0,,130 Morris Road Hoppers Crossing VIC 3029,-37.8728008,144.7027884,$390.00,23.9946,390.0
994,994,3.0,2.0,2.0,,54 Antonio Road Tarneit VIC 3029,-37.8320593,144.6548096,$460 per week,27.4776,460.0
995,995,4.0,2.0,2.0,,3 Beagle Street Tarneit VIC 3029,-37.85603070000001,144.66072590000005,$450,27.2386,450.0
996,996,3.0,2.0,1.0,,10a Palmer Court Hoppers Crossing VIC 3029,-37.8620381,144.707592,$385,23.3074,385.0
997,997,3.0,2.0,1.0,,24 Alexandra Avenue Hoppers Crossing VIC 3029,-37.8528325,144.7086642,$385 per week,23.0224,385.0
998,998,3.0,2.0,2.0,,14 Magenta Walk Tarneit VIC 3029,-37.8401376,144.6423772,$360 pw,28.6306,360.0
999,999,4.0,2.0,2.0,,18 Komodo Drive Tarneit VIC 3029,-37.862184,144.6517635,$420 p.w.,28.1275,420.0
1000,1000,4.0,2.0,2.0,,7 Copper Way Tarneit VIC 3029,-37.8378366,144.64703569999998,$400 pw,28.2019,400.0
1001,1001,4.0,2.0,4.0,,109 Bethany Road Hoppers Crossing VIC 3029,-37.8540652,144.6735439,$390 per week,26.0918,390.0
1002,1002,4.0,2.0,2.0,,16 Brookwood Street Tarneit VIC 3029,-37.8327069,144.66762759999997,$400 per week,26.3567,400.0
1003,1003,4.0,2.0,2.0,,42 Rose Grange Boulevard Tarneit VIC 3029,-37.84209999999999,144.7043323,$575,23.2319,575.0
1004,1004,3.0,2.0,2.0,,33 Cindia Crescent Tarneit VIC 3029,-37.8368006,144.68199030000005,$410,25.1294,410.0
1005,1005,4.0,2.0,2.0,,3 loire close Hoppers Crossing VIC 3029,-37.8587752,144.67099299999995,$420,26.3975,420.0
1006,1006,3.0,2.0,1.0,,39 Empire Drive Hoppers Crossing VIC 3029,-37.8516318,144.7046326,$405,23.3503,405.0
1007,1007,3.0,2.0,1.0,,2/5 Crown Court Tarneit VIC 3029,-37.86442359999999,144.6595256,$350 per week,27.5012,350.0
1008,1008,4.0,2.0,2.0,,10 Joanne Drive Truganina VIC 3029,-37.8238201,144.7100655,$460 weekly,22.5853,460.0
1009,1009,4.0,2.0,2.0,,12 Glasshouse way Truganina VIC 3029,-37.8334651,144.71132350000005,$480,22.5294,480.0
1010,1010,4.0,3.0,3.0,540.0,18 Lindeman Street Tarneit VIC 3029,-37.842337,144.6868784,$461 per week,24.7598,461.0
1011,1011,4.0,2.0,2.0,,12 Bodmin Court Truganina VIC 3029,-37.8628994,144.7238173,$440,21.9363,440.0
1012,1012,4.0,2.0,2.0,450.0,23 Melville St Tarneit VIC 3029,-37.8379534,144.6874709,$415,24.6602,415.0
1013,1013,4.0,2.0,4.0,448.0,Tarneit VIC 3029,-37.8091678,144.66720790000005,$450,26.3661,450.0
1014,1014,4.0,2.0,2.0,209.43,5 Toscana Truganina VIC 3029,-37.8317261,144.72121090000005,$440,21.6484,440.0
1015,1015,3.0,3.0,1.0,,12 Sussex Court Tarneit VIC 3029,-37.8507566,144.7122332,$415 per week,22.6753,415.0
1016,1016,3.0,2.0,1.0,,4a Craig Close Truganina VIC 3029,-37.8439788,144.7175159,$410 per week,22.107,410.0
1017,1017,4.0,2.0,2.0,,104 Lansdowne Parade Tarneit VIC 3029,-37.85507279999999,144.6518914,$450,27.9904,450.0
1018,1018,4.0,2.0,2.0,,4 Willowmoore Grove Tarneit VIC 3029,-37.8471595,144.6516399,$390.00 Per Week pw,27.8979,390.0
1019,1019,4.0,2.0,2.0,360.0,10 Clearwood Drive Truganina VIC 3029,-37.8416217,144.71910380000003,$410.00 Per Week pw,21.936,410.0
1020,1020,4.0,2.0,2.0,,7 Ebony Way Tarneit VIC 3029,-37.8397527,144.65333180000005,$400 Per Week pw,27.6674,400.0
1021,1021,3.0,2.0,2.0,,41 Luster Crescent Tarneit VIC 3029,-37.8298589,144.675928,$375 Per Week,25.6106,375.0
1022,1022,3.0,2.0,2.0,,5 Bottlebrush Drive Hoppers Crossing VIC 3029,-37.8602567,144.6834845,$360.00 Per Week pw,25.3461,360.0
1024,1024,4.0,2.0,2.0,,36 Heartlands Boulevard Tarneit VIC 3029,-37.8329358,144.6617592,$390 Per Week pw,26.8733,390.0
1025,1025,3.0,2.0,1.0,261.0,1/34 Finchley Park Crescent Tarneit VIC 3029,-37.86123370000001,144.66338249999995,$350 pw,27.1036,350.0
1026,1026,4.0,2.0,2.0,,182 Heaths Road Hoppers Crossing VIC 3029,-37.8778788,144.6888509,$360,25.3234,360.0
1027,1027,3.0,2.0,2.0,,23 Higgins Way Truganina VIC 3029,-37.8603151,144.730062,$380,21.3372,380.0
1028,1028,4.0,2.0,2.0,,7 Yates Street Truganina VIC 3029,-37.8593396,144.72542869999995,$410,21.7116,410.0
1029,1029,4.0,2.0,2.0,,34 Conway Street Tarneit VIC 3029,-37.832503,144.6591202,$410,27.101999999999997,410.0
1031,1031,4.0,3.0,2.0,,8 Latitude Promenade Truganina VIC 3029,-37.83509129999999,144.710051,$650,22.6551,650.0
1036,1036,4.0,2.0,2.0,,70 Mercantour Boulevard Tarneit VIC 3029,-37.8403069,144.66569850000005,$380.00 per week,26.59,380.0
1037,1037,4.0,2.0,2.0,,49 Queensbridge Ave Tarneit VIC 3029,-37.8446544,144.6448657,$425,28.4596,425.0
1038,1038,1.0,2.0,,,Hoppers Crossing VIC 3029,-37.8629027,144.6854533,$150,25.2322,150.0
1039,1039,4.0,2.0,2.0,400.0,26 Cecil Rd Tarneit VIC 3029,-37.8091678,144.66720790000005,$410,26.3661,410.0
1040,1040,4.0,2.0,2.0,,4 Flower Gum Crescent Tarneit VIC 3029,-37.8622232,144.657219,$360.00,27.6562,360.0
