,address,latitude,longitude,nbed,nbath,ncar,price,type,historical_dates,postcode,year,month,suburb,weekly_rent,residence_type
5191,"12 ROMA AVENUE, CRANBOURNE",-38.094774,145.272373,3.0,1.0,1,$245_per_week,House,September 2008,3977,2008,9,CRANBOURNE,245,House
5192,"38 RAFFINDALE CRESCENT, CRANBOURNE",-38.095561,145.261338,3.0,2.0,2,$270,House,January 2008,3977,2008,1,CRANBOURNE,270,House
5193,"4 LATROBE STREET, CRANBOURNE",-38.102421,145.288147,3.0,1.0,1,$260_p.w.,House,November 2008,3977,2008,11,CRANBOURNE,260,House
5194,"18 CRANBOURNE DRIVE, CRANBOURNE",-38.108352,145.274687,3.0,1.0,3,$260_Weekly,House,June 2008,3977,2008,6,CRANBOURNE,260,House
5195,"2/54 CRANBOURNE DRIVE, CRANBOURNE",-38.10929716,145.27968156,3.0,1.0,1,$220_per_week,Unit,May 2008,3977,2008,5,CRANBOURNE,220,Apartment
5196,"11 SAUNTON DRIVE, CRANBOURNE",-38.119235,145.256145,3.0,2.0,2,$320_per_week,House,February 2008,3977,2008,2,CRANBOURNE,320,House
5197,"6 LATROBE STREET, CRANBOURNE",-38.102442,145.288318,3.0,1.0,1,$220,House,February 2008,3977,2008,2,CRANBOURNE,220,House
5198,"7 HYDRA STREET, CRANBOURNE",-38.093288,145.286757,3.0,2.0,2,$275,none,July 2008,3977,2008,7,CRANBOURNE,275,Other
5199,"7 HYDRA STREET, CRANBOURNE",-38.093288,145.286757,3.0,2.0,2,$265,none,June 2008,3977,2008,6,CRANBOURNE,265,Other
5200,"15 VICTORIA STREET, CRESWICK",-37.421924,143.892904,3.0,2.0,3,$180,House,January 2008,3363,2008,1,CRESWICK,180,House
5201,"6 OXFORD CLOSE, CROYDON HILLS",-37.779308,145.257046,4.0,2.0,2,$400_per_week,House,April 2008,3136,2008,4,HILLS,400,House
5202,"6 PEACHWOOD PLACE, CROYDON HILLS",-37.781703,145.264836,4.0,2.0,4,$350_per_week,Rental_residential,June 2008,3136,2008,6,HILLS,350,Other
5203,"8 CARLYLE STREET, CROYDON",-37.798713,145.299045,3.0,1.0,2,$270_p.w.,House,November 2008,3136,2008,11,CROYDON,270,House
5204,"3/38 PASCOE AVENUE, CROYDON",-37.797661,145.299887,3.0,2.0,2,$330_pw,Townhouse,October 2008,3136,2008,10,CROYDON,330,House
5205,"3/38 PASCOE AVENUE, CROYDON",-37.797661,145.299887,3.0,2.0,2,$310_pw,Townhouse,January 2008,3136,2008,1,CROYDON,310,House
5206,"3/31 FORTUNA AVENUE, CROYDON",-37.806828,145.274657,3.0,1.0,1,$330_pw,Rental_residential,October 2008,3136,2008,10,CROYDON,330,Other
5207,"7 RIDGWAY AVENUE, CROYDON",-37.799325,145.276054,4.0,1.0,1,$330_p.w.,Rental_residential,November 2008,3136,2008,11,CROYDON,330,Other
5208,"7/38 LUSHER ROAD, CROYDON",-37.804446,145.278883,2.0,1.0,1,$225_pw,Unit,February 2008,3136,2008,2,CROYDON,225,Apartment
5209,"4/27 VINTER AVENUE, CROYDON",-37.805596,145.275397,3.0,3.0,2,$360_pw,Rental_residential,April 2008,3136,2008,4,CROYDON,360,Other
5210,"1/29 BAYSWATER ROAD, CROYDON",-37.80333,145.273625,3.0,2.0,2,$340_per_week,Townhouse,September 2008,3136,2008,9,CROYDON,340,House
5211,"3/147 MAROONDAH HIGHWAY, CROYDON",-37.786809,145.273516,2.0,1.0,1,$210_per_week,Rental_residential,June 2008,3136,2008,6,CROYDON,210,Other
5212,"263 DORSET ROAD, CROYDON",-37.794874,145.29099,4.0,3.0,2,$260_pw,House,March 2008,3136,2008,3,CROYDON,260,House
5213,"17 PARRY STREET, CROYDON",-37.805235,145.287327,3.0,2.0,2,$360_per_week,none,May 2008,3136,2008,5,CROYDON,360,Other
5214,"282 HALLOWELLS ROAD, CUDGEE",-38.355344,142.630709,2.0,3.0,0,$140_Weekly,none,April 2008,3265,2008,4,CUDGEE,140,Other
5215,"1180 DAYLESFORD-MALMSBURY ROAD, GLENLYON",-37.290007,144.267765,1.0,1.0,2,$250_pw,none,October 2008,3461,2008,10,GLENLYON,250,Other
5216,"135 GREEN GULLY ROAD, GLENLYON",-37.282246,144.228887,2.0,1.0,0,$700,House,July 2008,3461,2008,7,GLENLYON,700,House
5217,"12 BARKLEY STREET, GLENLYON",-37.29811,144.244967,2.0,1.0,4,$250_pw,none,May 2008,3461,2008,5,GLENLYON,250,Other
5218,"1/82 STENLAKE AVENUE, GLENMORE",-37.7114427,144.3092213,2.0,1.0,2,$185_Weekly,none,December 2008,3340,2008,12,GLENMORE,185,Other
5219,"12 MCMURTRIE STREET, GLENMORE",-37.7114427,144.3092213,3.0,1.0,2,$245_Weekly,House,January 2008,3340,2008,1,GLENMORE,245,House
5220,"46 CHURCH STREET, GLENROWAN",-36.461286,146.225761,2.0,1.0,3,$210_Weekly,Rental_residential,December 2008,3675,2008,12,GLENROWAN,210,Other
5221,"46 CHURCH STREET, GLENROWAN",-36.461286,146.225761,2.0,1.0,3,$220_Weekly,Rental_residential,December 2008,3675,2008,12,GLENROWAN,220,Other
5222,"46 CHURCH STREET, GLENROWAN",-36.461286,146.225761,2.0,1.0,3,$240_per_week,Rental_residential,September 2008,3675,2008,9,GLENROWAN,240,Other
5223,"28 BEACONSFIELD PARADE, GLENROWAN",-36.460968,146.222237,3.0,1.0,1,$160,House,November 2008,3675,2008,11,GLENROWAN,160,House
5224,"32 BEACONSFIELD PARADE, GLENROWAN",-36.460599,146.222163,3.0,2.0,2,$200,House,April 2008,3675,2008,4,GLENROWAN,200,House
5225,"43 CHURCH STREET, GLENROWAN",-36.460826,146.225208,3.0,2.0,3,$200_per_week,House,April 2008,3675,2008,4,GLENROWAN,200,House
5226,"1/15 HARTINGTON STREET, GLENROY",-37.700251,144.916124,2.0,1.0,1,$300,Townhouse,October 2008,3046,2008,10,GLENROY,300,House
5227,"11/12 SALISBURY STREET, GLENROY",-37.701457,144.91912,1.0,1.0,1,$190,none,December 2008,3046,2008,12,GLENROY,190,Other
5228,"11/12 SALISBURY STREET, GLENROY",-37.701457,144.91912,1.0,1.0,1,$190_pw,none,November 2008,3046,2008,11,GLENROY,190,Other
5229,"29 PENGANA AVENUE, GLENROY",-37.710093,144.906038,3.0,1.0,1,$300,House,October 2008,3046,2008,10,GLENROY,300,House
5230,"29 PENGANA AVENUE, GLENROY",-37.710093,144.906038,3.0,1.0,1,$300,House,September 2008,3046,2008,9,GLENROY,300,House
5231,"715 POLLOCKSFORD ROAD, GNARWARRE",-38.167611,144.161048,4.0,2.0,3,$470_per_week,none,August 2008,3221,2008,8,GNARWARRE,470,Other
5232,"715 POLLOCKSFORD ROAD, GNARWARRE",-38.167611,144.161048,4.0,2.0,3,$470,none,July 2008,3221,2008,7,GNARWARRE,470,Other
5233,"12 MARTIN STREET, GOLDEN GULLY",-36.785878,144.263846,3.0,1.0,2,$550_per_week,House,July 2008,3555,2008,7,GULLY,550,House
5234,"361 HIGH STREET, GOLDEN SQUARE",-36.77346,144.257466,3.0,1.0,1,$250_per_week,House,July 2008,3555,2008,7,SQUARE,250,House
5235,"37 WADE STREET, GOLDEN SQUARE",-36.767316,144.258044,3.0,1.0,3,$180_pw,House,July 2008,3555,2008,7,SQUARE,180,House
5236,"37 WADE STREET, GOLDEN SQUARE",-36.767316,144.258044,3.0,1.0,3,$180,House,June 2008,3555,2008,6,SQUARE,180,House
5237,"7 BEDFORD COURT, GOLDEN SQUARE",-36.773416,144.242112,3.0,2.0,4,$250_per_week,none,May 2008,3555,2008,5,SQUARE,250,Other
5238,"7 BEDFORD COURT, GOLDEN SQUARE",-36.773416,144.242112,3.0,2.0,4,$250_per_week,none,April 2008,3555,2008,4,SQUARE,250,Other
5239,"93 HALLS ROAD, GOORAMBAT",-36.407985,145.920625,3.0,1.0,2,$195_per_week,House,December 2008,3725,2008,12,GOORAMBAT,195,House
