"3/113 Bay Road, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,625,-37.9528732,145.015762
"10/21-23 Hotham Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,495,-37.81482,144.989868
"20 Ingles Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,House,2.0,1.0,0,650,-37.8351936,144.948639
"34/18-20 Esplanade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,700,-37.8657722,144.975052
"28/99 Hotham Street, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,Townhouse,2.0,2.0,1,680,-37.86869,144.999084
"805/528 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,275,-37.80422,144.963608
"25 Spicer Street, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,House,4.0,2.0,2,"1,0",-37.9771,145.048538
"106/36 Regent Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,-37.81116,144.991974
"104/7 Ordnance Reserve, Maribyrnong",MARIBYRNONG,3032,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,340,-37.77047,144.879883
"32a Gilarth Street, Highett",HIGHETT,3190,Bayside - Greater Area,Townhouse,3.0,2.0,2,895,-37.9487457,145.0293
"13/21 Hotham Street, East Melbourne",EAST MELBOURNE,3002,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,425,-37.81482,144.989868
"208/6 Acacia Place, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,430,-37.81151,145.013885
"18 Amaya Way, Rockbank",ROCKBANK,3335,Melton City - Greater Area,House,3.0,2.0,0,385,-37.7340355,144.660278
"13/9 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,430,-37.86263,144.973221
"26 Lygon Street, Caulfield South",CAULFIELD SOUTH,3162,Glen Eira Council - Greater Area,House,2.0,1.0,3,450,-37.89916,145.024
"2410/45 Haig Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,520,-37.82706,144.957428
