street_adress,suburb,postcode,area,property_type,bedrooms,bathrooms,carspaces,price,time,latitude,longitude
"2410/45 Haig Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,520,2022-08-25T13:52:11,-37.82706,144.957428
"111/378-390 Saint Georges Road, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,490,2022-08-25T13:48:35,-37.7784843,144.988251
"3/4 Ovens Street, Box Hill North",BOX HILL NORTH,3129,Whitehorse City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,2,520,2022-08-25T13:42:42,-37.80753,145.125046
"126 Darling Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,House,2.0,1.0,1,620,2022-08-25T13:18:04,-37.87251,145.06041
"1/42a Hawthorn Grove, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,450,2022-08-25T12:53:21,-37.81576,145.032837
"14/542- 544 Springvale Road, Springvale South",SPRINGVALE SOUTH,3172,Dandenong - Greater Area,Townhouse,3.0,3.0,1,500,2022-08-25T12:45:12,-37.97456,145.146927
"3/694 Inkerman Road, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,420,2022-08-25T12:39:18,-37.8692665,145.024078
"405/442 St Kilda Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380,2022-08-25T12:15:55,-37.8382378,144.9754
"88 Brighton Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,Townhouse,4.0,3.0,1,"1,0",2022-08-25T12:07:52,-37.82955,144.998688
"1/22 Park Street, Pascoe Vale",PASCOE VALE,3044,Moreland City Council - Greater Area,Townhouse,2.0,2.0,3,450,2022-08-25T12:06:39,-37.72694,144.924759
"73/390 Toorak Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,600,2022-08-25T11:46:54,-37.8408241,145.004257
"4/82 Trenerry Crescent, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,Townhouse,3.0,1.0,1,720,2022-08-25T11:46:01,-37.79793,144.998184
"57 Westgarth Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,House,3.0,1.0,2,950,2022-08-25T11:41:41,-37.79437,144.977554
"23/214 Kambrook Road, Caulfield",CAULFIELD,3162,Glen Eira Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320,2022-08-25T11:34:20,-37.8873634,145.033859
"G01/83 Queens Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,600,2022-08-25T11:32:30,-37.85426,144.980423
"8/375 Hoddle Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,475,2022-08-25T11:27:51,-37.7982559,144.993179
"105/269 Grange Road, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,420,2022-08-25T11:21:01,-37.9010849,145.0441
"2/5 O`Connor Street, Black Rock",BLACK ROCK,3193,Bayside - Greater Area,ApartmentUnitFlat,3.0,1.0,2,600,2022-08-25T11:12:19,-37.96586,145.015579
"76 Manooka Road, Brookfield",BROOKFIELD,3338,Melton City - Greater Area,House,4.0,2.0,2,400,2022-08-25T11:07:26,-37.6956367,144.539551
"36 Garfield Avenue, Ormond",ORMOND,3204,Glen Eira Council - Greater Area,House,3.0,1.0,1,600,2022-08-25T11:04:56,-37.90415,145.051
"8 Theresa Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,3.0,2.0,0,755,2022-08-25T10:57:16,-37.8217354,145.0024
"10 Mercer Way, Armadale",ARMADALE,3143,Stonnington - Greater Area,ApartmentUnitFlat,2.0,1.0,2,695,2022-08-25T10:47:41,-37.855545,145.025314
"2 Sutton Grove, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,2.0,1,795,2022-08-25T10:40:42,-37.8225975,144.9908
"49 Highbury Grove, Prahran",PRAHRAN,3181,Stonnington - Greater Area,House,3.0,2.0,1,"1,1",2022-08-25T10:39:21,-37.8559952,145.007217
"4/321 Dandenong Road, Prahran",PRAHRAN,3181,Stonnington - Greater Area,ApartmentUnitFlat,2.0,1.0,1,700,2022-08-25T10:37:56,-37.8596458,145.009018
"131 Wellington Street, Kew",KEW,3101,Boroondara City Council - Greater Area,House,2.0,1.0,0,550,2022-08-25T10:29:28,-37.8105049,145.043015
"1/23 Coventry Street, Southbank",SOUTHBANK,3006,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,550,2022-08-25T10:09:58,-37.82924,144.970276
"316 Albion Street, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,House,3.0,1.0,1,700,2022-08-25T10:02:43,-37.75988,144.95372
"4/4 Essex Street, Pascoe Vale",PASCOE VALE,3044,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,410,2022-08-25T10:01:04,-37.7273331,144.949356
"2/361 St Kilda St, Brighton",BRIGHTON,3186,Bayside - Greater Area,House,3.0,2.0,2,"1,1",2022-08-25T09:53:13,-37.89974,144.988617
"17 Henderson Street, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,House,3.0,3.0,1,795,2022-08-25T09:41:58,-37.76245,144.940338
"38/262 Heidelberg Road, Fairfield",FAIRFIELD,3078,Darebin City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380,2022-08-25T09:25:43,-37.7845345,145.010574
"38 Argo Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,Townhouse,2.0,1.0,1,700,2022-08-25T09:18:26,-37.8441162,144.987457
"703/75 Wellington St, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,600,2022-08-25T09:17:29,-37.80639,144.9859
"37 Victoria Street, Brunswick East",BRUNSWICK EAST,3057,Moreland City Council - Greater Area,House,3.0,1.0,3,675,2022-08-25T09:14:17,-37.768795,144.979645
"152C McKinnon Road, Mckinnon",MCKINNON,3204,Glen Eira Council - Greater Area,ApartmentUnitFlat,1.0,2.0,1,350,2022-08-25T08:49:37,-37.9111366,145.0376
"4/6 Burke Road, Malvern East",MALVERN EAST,3145,Stonnington - Greater Area,ApartmentUnitFlat,2.0,1.0,1,390,2022-08-25T08:18:04,-37.8777733,145.0482
"19 Kent Road, Box Hill",BOX HILL,3128,Whitehorse City Council - Greater Area,House,3.0,1.0,0,530,2022-08-24T22:53:46,-37.82472,145.120621
"80c First Ave, Altona North",ALTONA NORTH,3025,Hobsons Bay City Council - Greater Area,Townhouse,4.0,3.0,2,800,2022-08-24T21:38:49,-37.8332,144.855286
"5 Raymond Road, Seaford",SEAFORD,3198,Frankston Council - Greater Area,House,3.0,2.0,2,550,2022-08-24T21:30:57,-38.1111374,145.1354
"31a Knapp St, Altona North",ALTONA NORTH,3025,Hobsons Bay City Council - Greater Area,Townhouse,3.0,3.0,2,775,2022-08-24T21:26:59,-37.8270645,144.8349
"103/26-30 Waltham Street, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,1,420,2022-08-24T20:26:17,-37.94975,145.0036
"1/12 Cole Crescent, Chadstone",CHADSTONE,3148,Monash City - Greater Area,Townhouse,4.0,2.0,1,850,2022-08-24T19:31:34,-37.887394,145.090836
"108/21 Cambridge Street, Box Hill",BOX HILL,3128,Whitehorse City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,430,2022-08-24T19:25:21,-37.82103,145.121414
"3/177 Kent Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,Townhouse,2.0,1.0,2,575,2022-08-24T18:28:48,-37.81516,145.008316
"318/181 Fitzroy Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,580,2022-08-24T18:07:45,-37.8577881,144.981186
"13/166 Power Street, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350,2022-08-24T17:55:23,-37.82517,145.025421
"609/2 Joseph Road, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,800,2022-08-24T17:51:27,-37.80033,144.909653
"28 Mark Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,House,2.0,2.0,1,600,2022-08-24T17:44:23,-37.79371,144.940918
"915/528 Swanston Street, Carlton",CARLTON,3053,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,350,2022-08-24T17:38:36,-37.80422,144.963608
"59 Brighton Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,House,2.0,1.0,1,650,2022-08-24T17:26:40,-37.8284073,144.999252
"1011/225 Elizabeth Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,430,2022-08-24T17:23:08,-37.8132324,144.962311
"214/232-242 Rouse Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400,2022-08-24T17:20:45,-37.8407021,144.937469
"5/8 Anderson Street, Caulfield",CAULFIELD,3162,Glen Eira Council - Greater Area,ApartmentUnitFlat,3.0,1.0,0,25 ,2022-08-24T17:15:08,-37.88178,145.02475
"2/27 Eildon Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,500,2022-08-24T17:12:17,-37.8620033,144.9776
"1/27 Eildon Road, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,625,2022-08-24T16:59:03,-37.8620033,144.9776
"2A Garden Street, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,House,3.0,2.0,2,50 ,2022-08-24T16:46:42,-37.8431129,144.995483
"305/7 Dudley Street, Caulfield East",CAULFIELD EAST,3145,Glen Eira Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350,2022-08-24T16:36:57,-37.8803635,145.047577
"1002/243 Toorak Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,200,2022-08-24T16:30:56,-37.8392525,144.99501
"9 Spencer Street, Preston",PRESTON,3072,Darebin City Council - Greater Area,House,3.0,2.0,4,630,2022-08-24T16:30:37,-37.7335052,145.003586
"21/313 Beaconsfield Parade, St Kilda West",ST KILDA WEST,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,450,2022-08-24T16:28:36,-37.8563881,144.966965
"543 Pascoe Vale Road, Pascoe Vale",PASCOE VALE,3044,Moreland City Council - Greater Area,House,3.0,1.0,2,430,2022-08-24T16:24:52,-37.72587,144.922623
"405/325 Collins Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,420,2022-08-24T16:24:50,-37.8166428,144.963547
"9/26 Auburn Grove, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380,2022-08-24T16:23:25,-37.8259354,145.047577
"501/6 Black Street, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,585,2022-08-24T16:09:01,-37.77657,144.959976
"2S/378-390 St Georges Road, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,585,2022-08-24T16:03:58,-37.7784843,144.988251
"11/2 Belsize Avenue, Carnegie",CARNEGIE,3163,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,495,2022-08-24T16:02:42,-37.8880272,145.059113
"3/552 Barkers Road, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,370,2022-08-24T16:00:57,-37.8176041,145.057678
"76 Esplanade West, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,Townhouse,2.0,2.0,2,950,2022-08-24T15:44:46,-37.8421669,144.942474
"7 Nevada Street, Balwyn North",BALWYN NORTH,3104,Boroondara City Council - Greater Area,House,5.0,2.0,2,760,2022-08-24T15:42:33,-37.7854538,145.08815
"3/83 Fewster Road, Hampton",HAMPTON,3188,Bayside - Greater Area,Townhouse,2.0,1.0,2,635,2022-08-24T15:28:50,-37.9386673,145.022141
"207/107 Beach Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,820,2022-08-24T15:08:02,-37.8407173,144.931122
"439/111 Punt Road, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,2022-08-24T14:51:14,-37.8510475,144.983887
"24 Union Street, Windsor",WINDSOR,3181,Port Philip City Council - Greater Area,House,3.0,1.0,0,825,2022-08-24T14:44:14,-37.85395,144.985046
"503/49 Plenty Road, Preston",PRESTON,3072,Darebin City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,400,2022-08-24T14:28:53,-37.7499123,145.003067
"207/394-398 Middleborough Road, Blackburn",BLACKBURN,3130,Whitehorse City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,350,2022-08-24T14:04:11,-37.82036,145.13858
"1608/6 Joseph Road, Footscray",FOOTSCRAY,3011,Maribyrnong City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400,2022-08-24T13:55:04,-37.799263,144.909683
"1/12 Darling Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,2022-08-24T13:54:31,-37.83784,144.99176
"8b Highbury Grove, Prahran",PRAHRAN,3181,Stonnington - Greater Area,Townhouse,2.0,2.0,1,780,2022-08-24T13:52:49,-37.85451,145.006912
"18/5 Dickens Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,400,2022-08-24T13:45:36,-37.87154,144.9879
"1008/20 Shamrock Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,500,2022-08-24T13:38:24,-37.80992,145.008179
"7/79-81 Mansfield Street, Thornbury",THORNBURY,3071,Darebin City Council - Greater Area,Townhouse,3.0,1.0,2,675,2022-08-24T13:34:43,-37.7568321,145.0065
"3 Bent Street, Caulfield South",CAULFIELD SOUTH,3162,Glen Eira Council - Greater Area,House,4.0,2.0,2,695,2022-08-24T13:26:03,-37.8936424,145.035919
"701/18 Grey Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,620,2022-08-24T13:19:36,-37.8601379,144.9781
"3 Flinders Avenue, Lara",LARA,3212,Geelong & District - Greater Area,House,3.0,1.0,2,450,2022-08-24T13:17:55,-38.02178,144.398
"2 Airedale Avenue, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,House,4.0,2.0,4,"1,8",2022-08-24T13:12:19,-37.8381348,145.0429
"8/176 Smith Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,425,2022-08-24T13:08:27,-37.8033333,144.983719
"1/2 Station St, Reservoir",RESERVOIR,3073,Darebin City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,350,2022-08-24T13:06:32,-37.7295227,145.004761
"7/37 Groom Street, Clifton Hill",CLIFTON HILL,3068,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,870,2022-08-24T13:02:13,-37.7935638,144.998428
"10/3 Boston Road, Balwyn",BALWYN,3103,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,450,2022-08-24T12:43:52,-37.81671,145.076859
"1/262 Victoria Street, Richmond",RICHMOND,3121,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,480,2022-08-24T12:43:01,-37.810585,145.0
"20 Poplar Grove, Carnegie",CARNEGIE,3163,Glen Eira Council - Greater Area,House,4.0,2.0,3,980,2022-08-24T12:41:07,-37.88656,145.063568
"10/520 Hampton Street, Hampton",HAMPTON,3188,Bayside - Greater Area,ApartmentUnitFlat,1.0,1.0,1,425,2022-08-24T12:40:54,-37.93417,145.003326
"3108/500 Elizabeth St, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,410,2022-08-24T12:39:35,-37.8072433,144.960281
"19 Little Cobden Street, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,415,2022-08-24T12:38:17,-37.8044052,144.956573
"15/29 Lynch Street, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,260,2022-08-24T12:21:14,-37.8216324,145.034653
"7/13 Hughenden Road, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,480,2022-08-24T12:17:03,-37.8615227,145.009338
"3/72 Leamington Street, Reservoir",RESERVOIR,3073,Darebin City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,420,2022-08-24T12:15:22,-37.71194,145.00145
"10 Eurolie Street, Balwyn North",BALWYN NORTH,3104,Boroondara City Council - Greater Area,House,5.0,5.0,2,150,2022-08-24T12:14:09,-37.7975578,145.077957
"502/21 Plenty Road, Bundoora",BUNDOORA,3083,Banyule Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,330,2022-08-24T12:06:25,-37.69815,145.058365
"217/339 Swanston St, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,370,2022-08-24T11:56:06,-37.8103828,144.9638
"17 Empress Rd, St Kilda East",ST KILDA EAST,3183,Glen Eira Council - Greater Area,House,3.0,1.0,0,825,2022-08-24T11:53:36,-37.8679,145.001312
"507 Napier Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,House,2.0,1.0,0,690,2022-08-24T11:53:26,-37.79148,144.981659
"3113/639 Lonsdale Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,3.0,2.0,1,950,2022-08-24T11:53:14,-37.8150673,144.953415
"104/12 Queens Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,440,2022-08-24T11:52:09,-37.83842,144.974716
"309a/33 Inkerman Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,550,2022-08-24T11:33:29,-37.8643532,144.982956
"1 Valley Parade, Glen Iris",GLEN IRIS,3146,Boroondara City Council - Greater Area,House,2.0,1.0,1,470,2022-08-24T11:24:33,-37.8523941,145.057083
"111/11 Wellington Street, Collingwood",COLLINGWOOD,3066,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,650,2022-08-24T11:17:39,-37.80823,144.985565
"2/274A Domain Road, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,380,2022-08-24T11:03:13,-37.835,144.990448
"8/13 Albion St, Balaclava",BALACLAVA,3183,Port Philip City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,340,2022-08-24T10:41:21,-37.8739281,144.993042
"607/9 High St, North Melbourne",NORTH MELBOURNE,3051,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,0,280,2022-08-24T10:31:46,-37.7996,144.953842
"3/42a Hawthorn Grove, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,450,2022-08-24T10:30:30,-37.81576,145.032837
"2/22 Fifth St, Black Rock",BLACK ROCK,3193,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,1,600,2022-08-24T10:29:57,-37.98236,145.022919
"103/56 Harp Road, Kew",KEW,3101,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,500,2022-08-24T10:24:11,-37.7999878,145.053772
"808/565 Flinders Street, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,2022-08-24T10:16:19,-37.82106,144.9559
"10/2 Victoria St, Elsternwick",ELSTERNWICK,3185,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,380,2022-08-24T10:13:48,-37.8860779,145.009689
"7/56 Kooyong Road, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,500,2022-08-24T10:09:10,-37.8681831,145.0189
"8/2 Victor Road, Glen Iris",GLEN IRIS,3146,Boroondara City Council - Greater Area,Townhouse,3.0,2.0,1,625,2022-08-24T10:03:12,-37.8622322,145.0672
"203/57-61 Johnston Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,640,2022-08-24T09:46:28,-37.79799,144.976761
"7/161 Victoria Road, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,500,2022-08-24T09:42:54,-37.82299,145.05751
"304/19 Collins Street, Chadstone",CHADSTONE,3148,Monash City - Greater Area,ApartmentUnitFlat,2.0,1.0,2,440,2022-08-24T09:37:31,-37.8759422,145.093674
"5/508 Glenferrie Rd, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,420,2022-08-24T09:15:35,-37.83053,145.0344
"3/30 Logan Street, Hamlyn Heights",HAMLYN HEIGHTS,3215,Geelong & District - Greater Area,ApartmentUnitFlat,3.0,1.0,1,470,2022-08-24T09:11:34,-38.129715,144.336121
"26 Campbell Grove, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,Townhouse,3.0,2.0,4,"1,3",2022-08-24T09:11:07,-37.8337822,145.049438
"108 Best Street, Fitzroy North",FITZROY NORTH,3068,Moreland City Council - Greater Area,House,4.0,3.0,1,"1,3",2022-08-24T09:07:37,-37.78135,144.983856
"1/18 Raynes Street, Balwyn",BALWYN,3103,Boroondara City Council - Greater Area,House,4.0,2.0,2,860,2022-08-24T09:06:40,-37.80599,145.0896
"7/15 Bent Street, Brunswick West",BRUNSWICK WEST,3055,Moreland City Council - Greater Area,Townhouse,2.0,2.0,1,520,2022-08-24T08:15:01,-37.75882,144.942108
"10/12 Gleniffer Avenue, Brighton East",BRIGHTON EAST,3187,Bayside - Greater Area,ApartmentUnitFlat,2.0,2.0,1,495,2022-08-24T07:06:09,-37.9312172,145.031021
"11-13 Tibbles Street, Beaumaris",BEAUMARIS,3193,Bayside - Greater Area,House,4.0,2.0,2,895,2022-08-23T21:42:29,-37.97232,145.037323
"220/631 Victoria Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,625,2022-08-23T21:18:24,-37.8111572,145.008911
"9D/12 Marine Parade, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,520,2022-08-23T19:46:17,-37.8701172,144.976654
"3/13 State Street, Oakleigh East",OAKLEIGH EAST,3166,Monash City - Greater Area,Townhouse,3.0,2.0,2,600,2022-08-23T19:40:09,-37.900135,145.1077
"55/1 Albert Road, Melbourne",MELBOURNE,3000,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,2,950,2022-08-23T19:12:18,-37.8339577,144.9728
"1/143 Kangaroo Road, Hughesdale",HUGHESDALE,3166,Monash City - Greater Area,ApartmentUnitFlat,3.0,2.0,2,625,2022-08-23T18:27:23,-37.9003334,145.082855
"7/8-10 James Avenue, Kew",KEW,3101,Boroondara City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,330,2022-08-23T18:07:22,-37.8009377,145.038269
"1515/1 Queens Road, Melbourne",MELBOURNE,3004,Melbourne City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,2,695,2022-08-23T17:47:51,-37.8357735,144.973877
"103/57-61 Johnston Street, Fitzroy",FITZROY,3065,Yarra City Council - Greater Area,House,2.0,2.0,1,640,2022-08-23T17:36:52,-37.79799,144.976761
"16 Byrne Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,House,3.0,1.0,1,650,2022-08-23T17:35:45,-37.8370628,144.934143
"25 Living Cres, Point Cook",POINT COOK,3030,Wyndham City Council - Greater Area,House,4.0,2.0,2,20p,2022-08-23T17:22:37,-37.9108238,144.763367
"6/1 Coleridge Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,365,2022-08-23T16:55:43,-37.8811073,144.994125
"6/89 Seymour Road, Elsternwick",ELSTERNWICK,3185,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,425,2022-08-23T16:53:28,-37.8809433,145.0152
"9/76 Carlisle Street, St Kilda",ST KILDA,3182,Port Philip City Council - Greater Area,Townhouse,2.0,1.0,1,650,2022-08-23T16:50:39,-37.8674622,144.985092
"3/12 Berkeley Street, Hawthorn",HAWTHORN,3122,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,450,2022-08-23T16:44:53,-37.830452,145.036545
"96 Paloma Street, Bentleigh East",BENTLEIGH EAST,3165,Glen Eira Council - Greater Area,House,4.0,3.0,2,930,2022-08-23T16:39:56,-37.9154053,145.083908
"102/9 Village Avenue, Brunswick East",BRUNSWICK EAST,3057,Moreland City Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,550,2022-08-23T16:26:56,-37.772213,144.979172
"1/45 Abbott Street, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,0,420,2022-08-23T16:14:07,-37.9500923,145.016953
"415/99 Nott Street, Port Melbourne",PORT MELBOURNE,3207,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,2,500,2022-08-23T16:13:45,-37.8404541,144.938385
"5 Pickford Street, Prahran",PRAHRAN,3181,Stonnington - Greater Area,House,2.0,1.0,0,800,2022-08-23T16:08:21,-37.857254,145.0066
"4/2 Clifton Road, Hawthorn East",HAWTHORN EAST,3123,Boroondara City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,1,520,2022-08-23T16:00:25,-37.8443832,145.04953
"6/39 Southey Street, Elwood",ELWOOD,3184,Port Philip City Council - Greater Area,ApartmentUnitFlat,1.0,1.0,1,320,2022-08-23T15:41:28,-37.8764725,144.9868
"8/61 Marne Street, South Yarra",SOUTH YARRA,3141,Melbourne City Council - Greater Area,ApartmentUnitFlat,2.0,1.0,0,560,2022-08-23T15:31:31,-37.8345757,144.984222
"105/337 Balaclava Road, Caulfield North",CAULFIELD NORTH,3161,Glen Eira Council - Greater Area,ApartmentUnitFlat,2.0,2.0,1,600,2022-08-23T15:30:54,-37.87419,145.0357
"270 Langridge Street, Abbotsford",ABBOTSFORD,3067,Yarra City Council - Greater Area,House,1.0,1.0,0,470,2022-08-23T15:23:58,-37.8073845,144.995575
"40 Cassels Road, Brunswick",BRUNSWICK,3056,Moreland City Council - Greater Area,Townhouse,3.0,2.0,2,850,2022-08-23T15:08:36,-37.75689,144.959946
"2/91 Beach Road, Sandringham",SANDRINGHAM,3191,Bayside - Greater Area,ApartmentUnitFlat,2.0,1.0,2,475,2022-08-23T15:06:58,-37.9468651,145.001251
